"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","112
001","48","2.229","16.7","4.2","22.9","8.3","18.8","14.6","14.6",".",".",".","",".","",".",".",".",".","."
"","002
112","48","2.128","10.4","4.2","16.7","4.2","43.8","4.2","14.6",".",".",".","",".","",".","2.1",".",".","."
"","112
003","37","2.473","13.5","10.8","24.3","8.1","24.3","13.5","5.4",".",".",".","",".","",".",".",".",".","."
"Algebra","Course Total","133","2.261","13.5","6.0","21.1","6.8","29.3","10.5","12.0",".",".",".","",".","",".","0.8",".",".","."
"","113
001","58","2.920","15.5","22.4","10.3","27.6","20.7",".",".",".",".",".","",".","",".","3.4",".",".","."
"","113
002","54","2.853","14.8","22.2","14.8","20.4","18.5",".","3.7",".",".",".","",".","",".","3.7",".",".","1.9"
"","113
003","51","2.657","11.8","13.7","13.7","27.5","27.5","5.9",".",".",".",".","",".","",".",".",".",".","."
"Trigonometry","Course Total","163","2.813","14.1","19.6","12.9","25.2","22.1","1.8","1.2",".",".",".","",".","",".","2.5",".",".","0.6"
"Algebra and Trigonometry","114
001","62","2.167","14.5","3.2","14.5","16.1","21.0","14.5","12.9",".",".",".","",".","",".","3.2",".",".","."
"Math for Tchng: Geom&Measrmnt","131
001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prob Solvng: Alg, Prob & Stats","132
001","11","3.500","18.2","54.5","18.2",".",".",".",".",".",".",".","",".","",".","9.1",".",".","."
"Quant Reasoning&Prob Solvng","141
001","40","3.203","32.5","17.5","22.5","5.0","10.0","5.0",".",".",".",".","",".","",".","7.5",".",".","."
"","211
001","299","2.829","16.7","21.1","24.1","13.0","14.0","8.4","2.3",".",".",".","",".","",".","0.3",".",".","."
"","211
002","270","2.676","11.5","21.5","21.5","14.4","15.6","11.9","2.6",".",".",".","",".","",".","1.1",".",".","."
"Calculus","Course Total","569","2.757","14.2","21.3","22.8","13.7","14.8","10.0","2.5",".",".",".","",".","",".","0.7",".",".","."
"Calc/Intro-Differntl Equats","213
001","198","3.316","43.9","21.7","14.1","8.1","7.1","3.0","2.0",".",".",".","",".","",".",".",".",".","."
"Calc with Algebra & Trig II","217
001","195","2.882","19.0","11.3","37.4","12.3","11.3","7.2","1.5",".",".",".","",".","",".",".",".",".","."
"","221
001","286","2.595","19.6","6.3","24.8","7.3","29.4","6.6","5.6",".",".",".","",".","",".","0.3",".",".","."
"","221
002","335","2.640","20.6","8.4","19.7","8.7","30.7","5.4","4.8","0.3","0.3",".","",".","",".","1.2",".",".","."
"Calculus&Analytic Geometry 1","Course Total","621","2.619","20.1","7.4","22.1","8.1","30.1","6.0","5.2","0.2","0.2",".","",".","",".","0.8",".",".","."
"","001
222","206","2.752","28.6","4.9","25.7","5.8","21.4","9.2","4.4",".",".",".","",".","",".",".",".",".","."
"","222
002","220","2.631","27.3","5.5","20.5","4.5","22.3","14.1","4.5",".",".",".","",".","",".","1.4",".",".","."
"","222
003","205","2.946","34.6","5.4","27.8","3.4","17.6","8.8","2.0",".",".",".","",".","",".","0.5",".",".","."
"","222
004","214","2.770","24.8","4.7","28.0","6.1","24.8","8.9","1.4",".",".",".","",".","",".","0.9","0.5",".","."
"","222
005","189","2.495","16.9","7.9","22.8","6.9","27.0","10.6","6.3",".",".",".","",".","",".","1.1","0.5",".","."
"Calculus&Analytic Geometry 2","Course Total","1034","2.722","26.6","5.6","25.0","5.3","22.5","10.3","3.7",".",".",".","",".","",".","0.8","0.2",".","."
"","228
011","5","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","228
051","15","3.700","66.7","6.7","26.7",".",".",".",".",".",".",".","",".","",".",".",".",".","."
