"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","","","","",""
"Language, Race, and Identity","319","001","","30","3.569","70.0","6.7","6.7","3.3","6.7",".","3.3",".","",".",".","",".","",".","3.3",".",".","."
"Child Language","320","001","","30","3.759","66.7","20.0","3.3","6.7",".",".",".","3.3","",".",".","",".","",".",".",".",".","."
"Nineteenth-Century Novel","345","001","","35","3.574","62.9","5.7","17.1","2.9","8.6",".",".",".","",".",".","",".","",".",".","2.9",".","."
"Topics in Gender & Literature","350","001","","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Modernist Poetry","352","001","","30","3.800","80.0","6.7","10.0",".","3.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Creative Writing: Nonfiction","407","001","","12","3.542","75.0","8.3","8.3",".",".",".","8.3",".","",".",".","",".","",".",".",".",".","."
"","408","001","","14","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","408","002","","12","3.958","91.7","8.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Creative Writing: Fiction","","Course Total","","26","3.981","96.2","3.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","409","001","","14","3.786","92.9",".",".",".",".","7.1",".",".","",".",".","",".","",".",".",".",".","."
"","409","002","","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Creative Writing: Poetry","","Course Total","","29","3.897","96.6",".",".",".",".","3.4",".",".","",".",".","",".","",".",".",".",".","."
"Creative Writing: Playwriting","410","001","","12","3.917","91.7",".","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","411","001","","10","3.889","70.0","20.0",".",".",".",".",".","10.0","",".",".","",".","",".",".",".",".","."
"","411","002","","15","3.367","53.3","26.7",".","6.7","6.7",".","6.7",".","",".",".","",".","",".",".",".",".","."
"Creative Writing: Workshop","","Course Total","","25","3.563","60.0","24.0",".","4.0","4.0",".","4.0","4.0","",".",".","",".","",".",".",".",".","."
"Introduction to TESOL Methods","415","001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics-English Lang & Linguis","420","001","","17","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topic in Early Modern Lit","430","001","","19","3.861","73.7","15.8","5.3",".",".",".",".",".","",".",".","",".","",".","5.3",".",".","."
"Early Works of Shakespeare","431","001","","29","3.964","93.1",".","3.4",".",".",".",".",".","",".",".","",".","",".","3.4",".",".","."
"Topic in 18th-Century Lit","438","001","","27","3.870","81.5","11.1","7.4",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"James Joyce","454","001","","19","3.211","15.8","31.6","31.6","21.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topic in American Lit","457","001","","27","4.000","96.3",".",".",".",".",".",".",".","",".",".","",".","",".","3.7",".",".","."
"","458","001","","28","3.288","28.6","32.1","14.3","7.1","7.1","3.6",".",".","",".",".","",".","",".","7.1",".",".","."
"","458","002","","27","3.635","55.6","14.8","22.2","3.7",".",".",".",".","",".",".","",".","",".","3.7",".",".","."
"Major American Writer(s)","","Course Total","","55","3.462","41.8","23.6","18.2","5.5","3.6","1.8",".",".","",".",".","",".","",".","5.5",".",".","."
"Topic-Ethnic&Multicultr Lit","461","001","","16","3.531","56.3","25.0","6.3","6.3",".","6.3",".",".","",".",".","",".","",".",".",".",".","."
"Topic in Asian American Lit","462","001","","9","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Comedy as Genre","475","001","","20","3.250","15.0","35.0","35.0","15.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"English Syntax","514","001","","11","3.818","81.8",".","18.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Techniques&Materials for TESOL","515","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Old English","520","001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Health and the Humanities","525","001","","8","3.375","62.5","25.0",".",".",".",".","12.5",".","",".",".","",".","",".",".",".",".","."
"","548","001","","23","3.413","17.4","47.8","34.8",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","548","002","","21","3.833","81.0","14.3",".",".","4.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Topic in Lit and Politics","","Course Total","","44","3.614","47.7","31.8","18.2",".","2.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","559","002","","11","3.955","90.9","9.1",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","559","003","","9","3.667","55.6","22.2","22.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topic in Theory","","Course Total","","20","3.825","75.0","15.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
