"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","","","","","","",""
"","613
003","","21","3.528","38.1","23.8","19.0",".","4.8","",".","",".",".","",".",".","",".","",".","9.5",".","4.8","."
"Special Topics in Film","Course Total","","50","3.451","26.0","30.0","20.0","4.0","2.0","",".","",".","6.0","",".",".","",".","",".","6.0",".","6.0","."
"Field Exper in Communicatn","614
001","","9","",".",".",".",".",".","",".","",".",".","",".","100.0","",".","",".",".",".",".","."
"Secnd Fld Exp-Communication","615
001","","3","",".",".",".",".",".","",".","",".",".","",".","100.0","",".","",".",".",".",".","."
"","617
001","","6","3.667","50.0","33.3","16.7",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","617
002","","8","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","617
003","","4","3.750","75.0",".","25.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Hlth Communication-Info Age","Course Total","","18","3.833","77.8","11.1","11.1",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Video Productn&Directn","651
001","","14","3.731","57.1","28.6",".","7.1",".","",".","",".",".","",".",".","",".","",".","7.1",".",".","."
"Adv Motion Pic Prod Wkshp","659
001","","17","3.794","58.8","41.2",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","682
028","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","698
051","","1","",".",".",".",".",".","",".","",".",".","",".","100.0","",".","",".",".",".",".","."
"","699
033","","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
040","","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
051","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","","13","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Communication Research Methods","762
001","","11","3.700","63.6","18.2",".",".","9.1","",".","",".",".","",".",".","",".","",".","9.1",".",".","."
"","799
006","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","799
014","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
017","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
030","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
040","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
041","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
042","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
044","","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
051","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","92.3",".",".",".",".","",".","",".","7.7","",".",".","",".","",".",".",".",".","."
"Film Colloquium","902
001","","20","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Media&Cultural Studies Colloq","903
001","","17","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Communicatn Science Colloq","904
001","","15","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Rhetoric Colloquium","905
001","","15","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Smr-Radio-Tv-Film","950
001","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","969
001","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","969
002","","8","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Smr-Contemp Rhetorical Thry","Course Total","","15","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","990
006","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
008","","3","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
012","","3","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
014","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
028","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
029","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
030","","6","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 205 of 454",""
