"MILITARY SCIENCE","Section","#","","Ave","A","AB","","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","102
001","","15","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
002","","8","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
003","","6","3.500","50.0","",".","50.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Basic Leadership","Course Total","","29","3.897","89.7","",".","10.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 1B","111
111","","14","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","202
001","","20","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","202
002","","6","3.667","83.3","",".",".",".","16.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership and Teamwork","Course Total","","26","3.923","96.2","",".",".",".","3.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 2B","211
211","","12","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership and Ethics","302
001","","16","3.938","87.5","","12.5",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 3B","311
001","","16","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","402
001","","10","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","402
002","","7","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Officership","Course Total","","17","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 4B","411
001","","17","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"MIL SCI
644","Dept. Total","","147","3.956","95.9","","1.4","2.0",".","0.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","26","3.938","92.3","",".","7.7",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","33","3.978","97.0","",".","3.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","25","3.861","92.0","","4.0",".",".","4.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","59","3.989","98.3","","1.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","143","3.955","95.8","","1.4","2.1",".","0.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","147","3.956","95.9","","1.4","2.0",".","0.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
