"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Steel Structures II","545
001","","8","3.625","50.0","25.0","","25.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Geometric Dsgn-Transprt Fac","573
001","","17","3.676","52.9","35.3","","5.9","5.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior Capstone Design","578
001","","63","3.444","30.2","28.6","","41.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","579
001","","22","3.977","95.5","4.5","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","579
004","","8","3.938","87.5","12.5","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Seminar-Transportation Engr","Course Total","","30","3.967","93.3","6.7","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","649
001","","12","3.958","91.7","8.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","649
002","","2","3.750","50.0","50.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Specl Topic-Structural Engr","Course Total","","14","3.947","85.7","14.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Topics:Constructn Engr&Mgmt","669
001","","8","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Adv Traffic Model & Simulation","678
001","","10","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
003","","2","3.625","50.0","50.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
006","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
015","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
019","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
020","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
021","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
026","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
053","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
061","","6","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
064","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
074","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","","17","3.958","94.1","5.9","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Env Chemical Kinetics","704
001","","25","3.565","52.0","24.0","","8.0",".","","4.0","","4.0","",".","","4.0","",".",".","",".","",".","","4.0",".",".","."
"Engr Properties of Soils","730
001","","3","3.500","33.3","33.3","","33.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Struc Dynamics&Earthquake Engr","744
001","","6","3.100","16.7","16.7","","16.7","33.3","",".","",".","",".","","16.7","",".",".","",".","",".","",".",".",".","."
"Spec Topics-Structural Engr","749
001","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","790
005","","3","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"","790
006","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
010","","2","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
019","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
020","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
022","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
025","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
026","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"","790
028","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"","790
052","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"","790
059","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"","790
061","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
063","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"","790
064","","2","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
074","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"Master's Research or Thesis","Course Total","","19","",".",".","",".",".","",".","",".","",".","52.6","","",".",".","",".","47.4","","",".",".",".","."
