"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","27","3.865","81.5","11.1",".",".","3.7",".",".",".","",".",".","",".","",".","3.7",".",".","."
"","203
001","82","3.372","40.2","23.2","22.0","9.8","1.2","2.4","1.2",".","",".",".","",".","",".",".",".",".","."
"","203
002","82","3.427","35.4","30.5","23.2","6.1","4.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Signals, Information & Comp","Course Total","164","3.399","37.8","26.8","22.6","7.9","3.0","1.2","0.6",".","",".",".","",".","",".",".",".",".","."
"","204
001","3","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","204
002","58","3.684","60.3","20.7","10.3","6.9",".",".",".","1.7","",".",".","",".","",".",".",".",".","."
"Data Science & Engineering","Course Total","61","3.650","57.4","19.7","14.8","6.6",".",".",".","1.6","",".",".","",".","",".",".",".",".","."
"","210
001","70","3.986","97.1","2.9",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
002","64","3.938","98.4",".",".",".",".",".","1.6",".","",".",".","",".","",".",".",".",".","."
"Intro Electrical Engr","Course Total","134","3.963","97.8","1.5",".",".",".",".","0.7",".","",".",".","",".","",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","119","3.866","85.7","6.7","5.0","1.7",".","0.8",".",".","",".",".","",".","",".",".",".",".","."
"Electrodynamics I","220
001","115","2.878","23.5","9.6","29.6","14.8","15.7","3.5","3.5",".","",".",".","",".","",".",".",".",".","."
"Circuit Analysis","230
001","113","3.004","30.1","19.5","15.0","15.0","13.3","2.7","4.4",".","",".",".","",".","",".",".",".",".","."
"Intro-Solid State Electronics","235
001","45","2.978","24.4","20.0","15.6","15.6","20.0","4.4",".",".","",".",".","",".","",".",".",".",".","."
"","252
001","65","2.977","26.2","24.6","13.8","13.8","12.3","6.2","3.1",".","",".",".","",".","",".",".",".",".","."
"","252
003","89","3.337","46.1","16.9","20.2","3.4","10.1","1.1","2.2",".","",".",".","",".","",".",".",".",".","."
"Intro to Computer Engineering","Course Total","154","3.185","37.7","20.1","17.5","7.8","11.0","3.2","2.6",".","",".",".","",".","",".",".",".",".","."
"","270
001","60","3.575","46.7","28.3","20.0","3.3","1.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","270
002","43","3.698","55.8","32.6","9.3",".","2.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Circuits Laboratory I","Course Total","103","3.626","50.5","30.1","15.5","1.9","1.9",".",".",".","",".",".","",".","",".",".",".",".","."
"","271
001","27","3.481","51.9","22.2","14.8","7.4",".",".","3.7",".","",".",".","",".","",".",".",".",".","."
"","002
271","24","3.283","37.5","20.8","25.0",".","4.2","8.3",".",".","",".",".","",".","",".","4.2",".",".","."
"Circuits Laboratory II","Course Total","51","3.390","45.1","21.6","19.6","3.9","2.0","3.9","2.0",".","",".",".","",".","",".","2.0",".",".","."
"","303
001","18","3.556","50.0","11.1","38.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","303
002","18","3.667","66.7","22.2","5.6",".",".","5.6",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","36","3.611","58.3","16.7","22.2",".",".","2.8",".",".","",".",".","",".","",".",".",".",".","."
"Electric Machines Lab","304
001","20","3.526","30.0","45.0","15.0","5.0",".",".",".",".","",".",".","",".","",".","5.0",".",".","."
"","313
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","313
002","12","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Optoelectronics Lab","Course Total","24","3.938","91.7","4.2","4.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","315
002","18","3.806","77.8","11.1","5.6","5.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","315
003","20","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","315
005","18","3.833","83.3","5.6","5.6","5.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","315
006","21","3.929","90.5","4.8","4.8",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","77","3.864","81.8","11.7","3.9","2.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","317
001","14","3.964","92.9","7.1",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","317
003","17","3.912","88.2","5.9","5.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sensors Laboratory","Course Total","31","3.935","90.3","6.5","3.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Signals and Systems","001
330","80","3.300","33.8","22.5","22.5","15.0","5.0","1.3",".",".","",".",".","",".","",".",".",".",".","."
"State Space System Analysis","334
001","21","3.524","61.9","14.3","4.8","4.8","14.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Microelectronic Devices","335
001","24","3.375","33.3","45.8","4.2","12.5",".",".","4.2",".","",".",".","",".","",".",".",".",".","."
