"FRENCH (FRENCH AND ITALIAN) Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"672
001
Topics Literature and Culture","","12","3.889","","58.3","","16.7","",".",".","",".","",".","",".","8.3","",".",".","",".",".","16.7",".",".","."
"699
002
Directed Study","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"799
024","","6","3.923","","83.3","",".","","16.7",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"799
040","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Course Total
Independent Study","","7","3.923","","71.4","",".","","14.3",".","",".","",".","",".","14.3","",".",".","",".",".",".",".",".","."
"948
001
Smr: Questions-Litterature","","8","3.714","","37.5","","50.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".","12.5","."
"990
004","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"990
005","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"990
013","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","100.0",".",".","."
"990
019","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"990
035","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"990
036","","2","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"990
040","","2","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"Course Total
Individual Research","","11","","",".","",".","",".",".","",".","",".","",".","45.5","",".",".","",".","45.5","9.1",".",".","."
