"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","193","3.080","32.6","17.1","21.2","9.3","14.0","2.6","3.1",".","",".",".","",".","",".",".",".",".","."
"","002
200","158","3.126","34.2","14.6","26.6","6.3","10.1","3.2","3.2",".","",".",".","",".","",".",".","1.9",".","."
"","200
003","68","3.032","20.6","22.1","27.9","10.3","4.4","2.9","4.4","1.5","",".",".","",".","",".",".","1.5","4.4","."
"Programming I","Course Total","419","3.090","31.3","16.9","24.3","8.4","11.0","2.9","3.3","0.2","",".",".","",".","",".",".","1.0","0.7","."
"","220
001","156","3.522","52.6","26.9","12.2","1.9","1.9","2.6","1.9",".","",".",".","",".","",".",".",".",".","."
"","002
220","150","3.550","52.7","23.3","16.7","2.0","2.0","1.3","1.3","0.7","",".",".","",".","",".",".",".",".","."
"","220
003","199","3.500","50.3","28.6","10.1","4.5","2.0","1.5","2.5","0.5","",".",".","",".","",".",".",".",".","."
"","220
004","129","3.531","56.6","20.9","14.0","3.1","1.6","0.8","3.1",".","",".",".","",".","",".",".",".",".","."
"Data Sci Programming I","Course Total","634","3.524","52.7","25.4","12.9","3.0","1.9","1.6","2.2","0.3","",".",".","",".","",".",".",".",".","."
"","240
001","158","2.997","21.5","15.8","32.9","15.2","5.1","5.7","1.9",".","",".",".","",".","",".","1.9",".",".","."
"","240
002","144","3.014","25.7","17.4","25.0","14.6","9.7","4.9","2.1",".","",".",".","",".","",".","0.7",".",".","."
"Intro to Discrete Mathematics","Course Total","302","3.005","23.5","16.6","29.1","14.9","7.3","5.3","2.0",".","",".",".","",".","",".","1.3",".",".","."
"","252
002","247","3.449","55.1","16.2","10.5","6.1","8.1","0.8","2.0",".","",".",".","",".","",".","1.2",".",".","."
"","004
252","236","3.248","40.3","16.1","19.9","8.9","9.3","1.3","2.5",".","",".",".","",".","",".","1.7",".",".","."
"Intro to Computer Engineering","Course Total","483","3.351","47.8","16.1","15.1","7.5","8.7","1.0","2.3",".","",".",".","",".","",".","1.4",".",".","."
"","298
139","1","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"","298
140","1","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"","298
167","1","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","3","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"","300
001","81","3.593","56.8","19.8","14.8","7.4",".",".","1.2",".","",".",".","",".","",".",".",".",".","."
"","300
002","254","3.587","57.1","20.1","14.2","3.5","2.0","2.0","0.4",".","",".",".","",".","",".","0.8",".",".","."
"","300
003","204","3.426","46.1","19.6","21.6","7.4","1.0","2.9","1.0",".","",".",".","",".","",".","0.5",".",".","."
"","300
004","203","3.446","48.3","21.7","17.2","5.4","4.4","1.5","1.5",".","",".",".","",".","",".",".",".",".","."
"Programming II","Course Total","742","3.505","51.6","20.4","17.1","5.5","2.2","1.9","0.9",".","",".",".","",".","",".","0.4",".",".","."
"","304
001","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","304
002","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","304
003","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","304
005","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","304
006","9","3.889","77.8","22.2",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","304
007","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","304
008","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","304
009","5","3.900","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"WES-CS Group Meeting","Course Total","60","3.975","95.0","5.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","310
001","44","3.182","36.4","25.0","22.7","2.3","2.3","6.8","4.5",".","",".",".","",".","",".",".",".",".","."
"","310
002","37","3.122","32.4","18.9","24.3","16.2",".","2.7","5.4",".","",".",".","",".","",".",".",".",".","."
"Prob Solvng Using Computers","Course Total","81","3.154","34.6","22.2","23.5","8.6","1.2","4.9","4.9",".","",".",".","",".","",".",".",".",".","."
"","319
001","7","3.833","57.1","28.6",".",".",".",".",".","14.3","",".",".","",".","",".",".",".",".","."
"","319
002","10","3.950","90.0","10.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","319
003","6","3.917","83.3","16.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Data Sci Prgmg I - Research","Course Total","23","3.909","78.3","17.4",".",".",".",".",".","4.3","",".",".","",".","",".",".",".",".","."
"","320
001","189","3.414","45.5","25.4","12.2","6.9","3.7","2.1","2.1","1.6","",".",".","",".","",".","0.5",".",".","."
"","320
002","206","3.369","40.8","21.8","23.8","6.3","4.4","1.5","1.5",".","",".",".","",".","",".",".",".",".","."
"Data Sci Programming II","Course Total","395","3.390","43.0","23.5","18.2","6.6","4.1","1.8","1.8","0.8","",".",".","",".","",".","0.3",".",".","."
"Digital System Fundamentals","352
001","14","3.500","42.9","28.6","21.4",".","7.1",".",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 211 of 454",""
