"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Program","1
001","","8","3.938","87.5","","12.5","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"BME Fundamentals & Design","201
001","","150","3.787","70.0","","20.7","","6.0","3.3","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Biomedical Engineering Design","301
001","","116","3.879","78.4","","19.0","","2.6",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Bioinstrumentation","310
001","","98","3.577","50.0","","22.4","","21.4","5.1","","1.0","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Applied Statistics for BME","325
001","","53","3.726","66.0","","17.0","","15.1",".","","1.9","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Honors in Research","389
127","","1","3.500",".","100.0","","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
001","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
020","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
031","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
034","","3","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
037","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
038","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
051","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
055","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
059","","5","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
089","","3","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
092","","3","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
096","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
097","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
099","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
110","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
118","","11","4.000","90.9","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","9.1",".",".","."
"","399
121","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
127","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
129","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
133","","7","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
142","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
145","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
146","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
149","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
150","","5","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
152","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","399
154","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Independent Study","Course Total","","77","4.000","98.7","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","1.3",".",".","."
"Biomedical Engineering Design","402
001","","90","3.900","80.0","","20.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Biol Interactions w/ Materials","430
001","","114","3.377","21.1","","40.4","","32.5","5.3","","0.9","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Computers in Medicine","463
001","","17","3.588","47.1","","29.4","","17.6","5.9","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","489
092","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","489
118","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","489
119","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Honors in Research","Course Total","","3","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Biofluidics","505
001","","13","3.731","46.2","","53.8","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Biology in Engineering Seminar","517
001","","44","",".","",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 113 of 454",""
