"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"B M E","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","21","3.489","42.9","23.8","23.8",".","4.8","",".","",".",".","",".","4.8","",".",".",".",".",".","."
"Junior","198","3.652","61.1","22.7","11.6","4.0","0.5","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","664","3.721","63.4","19.7","9.2","1.5","0.3","",".","",".",".","",".","5.7","",".",".","0.2",".",".","."
"Undergraduates","884","3.700","62.4","20.5","10.1","2.0","0.5","",".","",".",".","",".","4.4","",".",".","0.1",".",".","."
"Special","13","3.800","61.5","15.4","7.7",".",".","",".","",".",".","",".","15.4","",".",".",".",".",".","."
"Graduate","259","3.829","36.3","11.2","2.7",".",".","",".","",".","28.2","",".","18.9","",".","2.7",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","10","4.000","10.0",".",".",".",".","",".","",".","80.0","",".",".","",".","10.0",".",".",".","."
"Professionals","11","4.000","9.1",".",".",".",".","",".","",".","81.8","",".",".","",".","9.1",".",".",".","."
