"FOOD SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discovering Food Science","201","001","","19","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Intro to Sci & Technol of Food","301","001","","27","3.019","22.2","18.5","18.5","22.2","18.5",".",".",".","",".",".","",".","",".","",".",".",".","."
"Food Laws and Regulations","321","001","","24","3.854","87.5","4.2","4.2",".","4.2",".",".",".","",".",".","",".","",".","",".",".",".","."
"Food Analysis","412","001","","21","2.500","4.8",".","28.6","33.3","28.6","4.8",".",".","",".",".","",".","",".","",".",".",".","."
"Principles-Food Preservation","432","001","","24","2.917","20.8","8.3","37.5","8.3","20.8","4.2",".",".","",".",".","",".","",".","",".",".",".","."
"Animal Ag & Sustainable Devel","472","001","","3","3.667","66.7",".","33.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Chem & Technol-Dairy Products","511","001","","6","2.417",".","16.7","33.3",".","33.3","16.7",".",".","",".",".","",".","",".","",".",".",".","."
"Integrated Food Functionality","514","001","","24","3.521","37.5","37.5","20.8",".","4.2",".",".",".","",".",".","",".","",".","",".",".",".","."
"Commercial Meat Processing","515","001","","3","3.500","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Fermented Foods and Beverages","550","001","","36","3.722","77.8","5.6","13.9",".",".",".","2.8",".","",".",".","",".","",".","",".",".",".","."
"Food Fermentation Laboratory","551","001","","19","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior Seminar","603","001","","24","3.708","54.2","41.7",".",".","4.2",".",".",".","",".",".","",".","",".","",".",".",".","."
"Chem & Technol-Dairy Products","611","001","","8","3.250","25.0",".","75.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699","028","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699","037","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699","045","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special Problems","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special Topics","875","001","","8","3.563","62.5","12.5",".","25.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Seminar Advanced","900","001","","27","3.875","11.1","3.7",".",".",".",".",".","85.2","",".",".","",".","",".","",".",".",".","."
"","990","009","","10","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990","017","","3","",".",".",".",".",".",".",".","66.7","",".",".","",".","33.3","","",".",".",".","."
"","990","028","","7","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990","033","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990","037","","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990","040","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990","043","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990","045","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990","046","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","","",".",".",".","."
"Research","","Course Total","","31","",".",".",".",".",".",".",".","90.3","",".",".","",".","","9.7","",".",".",".","."
