"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","7","3.714","57.1","28.6","14.3","",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","39","3.846","76.9","15.4","7.7","",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","152","3.795","69.7","22.4","6.6","",".","",".","",".","0.7","0.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","198","3.802","70.7","21.2","7.1","",".","",".","",".","0.5","0.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","15","",".",".",".","",".","",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","14","",".",".",".","",".","",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","52","",".",".",".","",".","",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","83","",".",".",".","",".","",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
