"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","90","",".","",".",".",".","",".","",".","",".","94.4","",".",".","",".","",".","5.6",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","40","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","97","4.000","87.6","",".",".",".","",".","",".","",".","12.4","",".",".","",".","",".",".",".",".","."
"Veterinary Nutrition","629
001","90","3.722","60.0","","27.8","10.0","1.1","","1.1","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","97","3.268","24.7","","20.6","42.3","8.2","","4.1","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Swine Medicine","635
001","97","3.814","76.3","","10.3","13.4",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Small Animal Neurology","667
001","19","4.000","78.9","",".",".",".","",".","",".","",".","21.1","",".",".","",".","",".",".",".",".","."
"Clin Dermatology Rotation","668
001","15","4.000","33.3","",".",".",".","",".","",".","",".","66.7","",".",".","",".","",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","23","4.000","30.4","",".",".",".","",".","",".","",".","69.6","",".",".","",".","",".",".",".",".","."
"","670
001","34","4.000","64.7","",".",".",".","",".","",".","",".","35.3","",".",".","",".","",".",".",".",".","."
"","670
002","5","4.000","80.0","",".",".",".","",".","",".","",".","20.0","",".",".","",".","",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","39","4.000","66.7","",".",".",".","",".","",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","46","4.000","82.6","",".",".",".","",".","",".","",".","17.4","",".",".","",".","",".",".",".",".","."
"","675
001","27","4.000","81.5","",".",".",".","",".","",".","",".","18.5","",".",".","",".","",".",".",".",".","."
"","675
005","4","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","675
006","8","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","675
007","26","4.000","34.6","",".",".",".","",".","",".","",".","65.4","",".",".","",".","",".",".",".",".","."
"","675
008","15","3.933","93.3","",".","6.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","675
009","90","",".","",".",".",".","",".","",".","",".","90.0","",".",".","",".","",".","10.0",".",".","."
"","675
010","23","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","675
011","30","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","675
014","8","4.000","50.0","",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".",".",".",".","."
"","675
015","92","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","675
015","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Section Total","93","4.000","1.1","",".",".",".","",".","",".","",".","98.9","",".",".","",".","",".",".",".",".","."
"","675
021","97","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","675
023","97","4.000","4.1","",".",".",".","",".","",".","",".","95.9","",".",".","",".","",".",".",".",".","."
"","675
053","1","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","675
054","14","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics","Course Total","533","3.993","17.8","",".","0.2",".","",".","",".","",".","80.3","",".",".","",".","",".","1.7",".",".","."
"","678
001","37","4.000","27.0","",".",".",".","",".","",".","",".","73.0","",".",".","",".","",".",".",".",".","."
"","678
002","9","4.000","33.3","",".",".",".","",".","",".","",".","66.7","",".",".","",".","",".",".",".",".","."
"Small Animal Internal Med","Course Total","46","4.000","28.3","",".",".",".","",".","",".","",".","71.7","",".",".","",".","",".",".",".",".","."
"Small Animal Oncology","679
001","14","4.000","71.4","",".",".",".","",".","",".","",".","28.6","",".",".","",".","",".",".",".",".","."
"","699
007","2","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
013","1","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","699
014","2","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","699
025","1","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","699
028","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
035","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
038","2","",".","",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","699
041","5","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
