"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","22","3.952","86.4","9.1",".",".",".","",".","",".","",".","",".",".","",".","",".","","4.5",".",".","."
"Intro to Chemical Engineering","150
001","","38","3.697","63.2","15.8","18.4","2.6",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Process Synthesis","250
001","","42","3.024","23.8","9.5","35.7","19.0","7.1","","4.8","",".","",".","",".",".","",".","",".","",".",".",".","."
"Intro to Chem Process Modeling","255
001","","75","3.107","26.7","16.0","36.0","8.0","9.3","","1.3","","2.7","",".","",".",".","",".","",".","",".",".",".","."
"Chem Process Thermodynamics","310
001","","58","3.009","12.1","17.2","41.4","19.0","10.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Thermodynamics of Mixtures","311
001","","63","3.079","31.7","17.5","7.9","23.8","17.5","","1.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Intro Transport Phenomena","320
001","","48","2.885","16.7","18.8","18.8","25.0","16.7","","4.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"","324
001","","11","3.636","45.5","36.4","18.2",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","324
002","","15","3.400","26.7","33.3","33.3","6.7",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","324
003","","15","3.533","40.0","26.7","33.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","324
004","","16","3.344","31.3","25.0","31.3","6.3","6.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Transport Phenomena Lab","Course Total","","57","3.465","35.1","29.8","29.8","3.5","1.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Momentum&Heat Transfer Oper","326
001","","71","3.057","19.7","28.2","18.3","11.3","19.7","","1.4","",".","",".","",".",".","",".","",".","","1.4",".",".","."
"Mass Transfer Operations","426
001","","36","3.129","27.8","16.7","19.4","19.4","13.9","",".","",".","",".","",".",".","",".","",".","","2.8",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","33","3.125","27.3","15.2","30.3","9.1","12.1","","3.0","",".","",".","",".",".","",".","",".","","3.0",".",".","."
"Chemical Engineering Matl","440
001","","45","3.567","60.0","11.1","20.0",".","8.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Process Design","450
001","","64","3.828","73.4","20.3","4.7","1.6",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Process Dynamics & Control","470
002","","65","3.369","26.2","38.5","26.2","4.6","3.1","","1.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Industrial Chem and Business","505
001","","32","2.984","18.8","25.0","25.0","9.4","15.6","","6.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Polymer Sci & Technology","540
001","","46","3.130","30.4","19.6","15.2","23.9","6.5","","4.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Seminar-Chem Engr Connections","555
001","","14","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","562
003","","15","3.933","93.3",".","6.7",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","562
008","","8","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","562
009","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Spec Topics in ChE","Course Total","","26","3.952","96.2",".","3.8",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
010","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
012","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
016","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
021","","7","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
024","","8","3.850","87.5",".","12.5",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
027","","4","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
029","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
031","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
032","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
033","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
034","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","599
035","","4","3.875","75.0","25.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special Problems","Course Total","","39","3.953","94.9","2.6","2.6",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Intmed Transport Phenomena","620
001","","11","3.455","27.3","45.5","18.2","9.1",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Kinetics and Catalysis","735
001","","20","3.800","75.0","10.0","15.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","790
015","","1","",".",".",".",".",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","Page 117 of 454",""
