"LAW","","Section","# 
Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","940","103","38
1.417","15.8","",".","","23.7","",".","",".","",".","",".","5.3","",".",".","",".","",".",".",".",".","."
"","940","104","36
1.200","8.3","",".","","27.8","",".","",".","",".","",".","2.8","",".",".","",".","",".",".",".",".","."
"","940","105","14
2.923","50.0","","14.3","","7.1","",".","",".","",".","",".",".","",".",".","",".","",".","7.1",".",".","."
"","940","106","31
0.931","6.5","",".","","16.1","",".","","6.5","",".","",".","6.5","",".",".","",".","",".",".",".",".","."
"","940","107","30
0.767","16.7","",".","","3.3","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","940","108","54
1.037","7.4","",".","","22.2","",".","","3.7","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","940","109","49
1.511","8.2","",".","","34.7","",".","","4.1","",".","",".","4.1","",".",".","",".","",".",".",".",".","."
"","940","110","6
1.667","16.7","",".","","33.3","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","940","111","23
1.174","13.0","",".","","21.7","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","940","112","23
1.217","26.1","",".","","4.3","",".","",".","","4.3","",".",".","",".",".","",".","",".",".",".",".","."
"","940","113","27
1.000","11.1","",".","","11.1","",".","","3.7","",".","",".","14.8","",".",".","",".","",".",".",".",".","."
"","940","114","12
1.182","8.3","",".","","25.0","",".","",".","",".","",".","8.3","",".",".","",".","",".",".",".",".","."
"","940","115","25",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Law & Contemporary Problems","","Course Total","402
1.293","12.7","","0.5","","19.7","",".","","1.7","","0.2","",".","9.2","",".",".","",".","",".","0.7",".",".","."
"","950","101","29",".","",".","",".","",".","",".","",".","",".","93.1","",".",".","",".","",".",".",".",".","6.9"
"","950","102","3",".","",".","",".","",".","",".","",".","",".","66.7","",".",".","",".","",".","33.3",".",".","."
"","950","103","13
1.615","23.1","",".","","23.1","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","950","104","13",".","",".","",".","",".","",".","",".","",".","69.2","",".",".","",".","",".",".",".",".","30.8"
"","950","105","29",".","",".","",".","",".","",".","",".","",".","86.2","",".",".","",".","",".",".",".",".","13.8"
"","950","106","9",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","950","107","4",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","950","108","9",".","",".","",".","",".","",".","",".","",".","66.7","",".",".","",".","",".",".",".",".","33.3"
"","950","109","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","950","110","5",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Lawyering Skills Course","","Course Total","115
1.615","2.6","",".","","2.6","",".","",".","",".","",".","76.5","",".",".","",".","",".","0.9",".",".","11.3"
"Problems:Bus Org-Seminar","953","001","16
0.750",".","",".","","25.0","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Estate Planning","957","001","18
1.059","11.1","",".","","11.1","",".","","11.1","",".","",".","5.6","",".",".","",".","",".",".",".",".","."
"Select Probs-Envrnmtl Law","988","001","11
1.056",".","","9.1","","18.2","",".","",".","",".","",".","18.2","",".",".","",".","",".",".",".",".","."
"","990","007","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","027","2",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","041","2",".","",".","",".","",".","",".","",".","",".","50.0","",".",".","",".","",".","50.0",".",".","."
"","990","042","3",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","046","4",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","067","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","069","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","082","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","091","4",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","095","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","096","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","101","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","124","2",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","127","9",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","133","2",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","134","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
