"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","","",""
"","320
002","20","3.150","30.0","10.0","45.0",".","10.0","5.0",".",".","",".",".","",".","",".",".",".",".","."
"","003
320","124","2.909","21.8","16.1","23.4","12.9","15.3","7.3","0.8",".","",".",".","",".","",".","2.4",".",".","."
"","320
004","113","2.996","34.5","14.2","16.8","9.7","13.3","8.0","2.7","0.9","",".",".","",".","",".",".",".",".","."
"","320
005","125","2.932","24.8","13.6","24.8","12.8","18.4","3.2","2.4",".","",".",".","",".","",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","520","2.979","27.9","15.0","23.1","10.0","15.2","6.3","1.5","0.4","",".",".","",".","",".","0.6",".",".","."
"Appl Mathematical Analysis","321
001","60","3.322","50.0","15.0","8.3","8.3","11.7","5.0",".",".","",".",".","",".","",".","1.7",".",".","."
"Appl Mathematical Analysis","322
001","20","3.025","30.0","5.0","30.0","20.0","10.0","5.0",".",".","",".",".","",".","",".",".",".",".","."
"","001
340","181","3.087","35.4","12.2","21.5","7.2","17.7","3.3","1.7",".","",".",".","",".","",".","1.1",".",".","."
"","002
340","96","2.957","34.4","7.3","18.8","7.3","24.0","4.2","2.1",".","",".",".","",".","",".","2.1",".",".","."
"","340
003","171","3.012","28.1","12.3","29.8","6.4","16.4","5.8","0.6",".","",".",".","",".","",".","0.6",".",".","."
"Elem Matrix & Linear Algebra","Course Total","448","3.030","32.4","11.2","24.1","6.9","18.5","4.5","1.3",".","",".",".","",".","",".","1.1",".",".","."
"","341
001","26","3.500","57.7","15.4","11.5","3.8","3.8",".","3.8","3.8","",".",".","",".","",".",".",".",".","."
"","341
002","42","3.122","31.0","21.4","16.7","16.7","4.8","4.8","2.4",".","",".",".","",".","",".","2.4",".",".","."
"","341
003","36","3.583","55.6","16.7","16.7","11.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Linear Algebra","Course Total","104","3.377","46.2","18.3","15.4","11.5","2.9","1.9","1.9","1.0","",".",".","",".","",".","1.0",".",".","."
"Topics-Multi-Var Calc&Diff Eq","376
001","37","3.500","56.8","10.8","24.3","2.7","2.7",".","2.7",".","",".",".","",".","",".",".",".",".","."
"","421
003","30","3.086","36.7","20.0","13.3","10.0","3.3","10.0","3.3",".","",".",".","",".","",".","3.3",".",".","."
"","004
421","19","2.889","31.6","10.5","5.3","10.5","31.6","5.3",".",".","",".",".","",".","",".",".",".",".","5.3"
"","421
005","31","3.113","29.0","22.6","19.4","12.9","9.7","6.5",".",".","",".",".","",".","",".",".",".",".","."
"","006
421","31","3.129","32.3","16.1","12.9","29.0","6.5","3.2",".",".","",".",".","",".","",".",".",".",".","."
"Theory of Single Variable Calc","Course Total","111","3.073","32.4","18.0","13.5","16.2","10.8","6.3","0.9",".","",".",".","",".","",".","0.9",".",".","0.9"
"","431
001","29","3.069","34.5","10.3","31.0","3.4","10.3","10.3",".",".","",".",".","",".","",".",".",".",".","."
"","431
002","37","3.014","40.5","16.2","10.8","2.7","16.2","10.8","2.7",".","",".",".","",".","",".",".",".",".","."
"","431
003","27","2.944","25.9","18.5","22.2","7.4","14.8","11.1",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Theory of Probability","Course Total","93","3.011","34.4","15.1","20.4","4.3","14.0","10.8","1.1",".","",".",".","",".","",".",".",".",".","."
"","435
001","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","435
002","5","3.700","60.0","20.0","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Introduction to Cryptography","Course Total","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"College Geometry I","461
001","28","3.143","35.7","10.7","17.9","17.9","17.9",".",".",".","",".",".","",".","",".",".",".",".","."
"History of Mathematics","473
001","40","3.878","72.5","17.5","2.5",".",".",".",".","2.5","",".",".","",".","",".",".",".","5.0","."
"","475
001","18","3.417","50.0","16.7","22.2",".","5.6","5.6",".",".","",".",".","",".","",".",".",".",".","."
"","475
002","14","3.286","50.0",".","28.6",".","21.4",".",".",".","",".",".","",".","",".",".",".",".","."
"","475
004","21","3.250","33.3","9.5","33.3","9.5","9.5",".",".",".","",".",".","",".","",".","4.8",".",".","."
"Intro-Combinatorics","Course Total","53","3.317","43.4","9.4","28.3","3.8","11.3","1.9",".",".","",".",".","",".","",".","1.9",".",".","."
"","490
027","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","490
107","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","490
164","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","490
187","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","490
193","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","490
195","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","490
196","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","490
198","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduate Seminar","Course Total","36","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
