"CHICANA/O & LATINA/O STUDIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","",""
"Intro US Ethnic/Am Ind Studies","102
001","25","3.860","76.0","20.0","4.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"The N. American West to 1850","151
001","9","3.833","88.9",".",".","11.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","201
001","40","3.821","72.5","15.0","10.0",".",".",".",".","",".","",".",".","",".","",".","2.5",".",".","."
"","201
002","39","3.605","56.4","25.6","10.3",".","2.6",".","2.6","",".","",".",".","",".","",".",".",".",".","2.6"
"Intro to Chicana/o&Latina/o St","Course Total","79","3.714","64.6","20.3","10.1",".","1.3",".","1.3","",".","",".",".","",".","",".","1.3",".",".","1.3"
"Chicana/o & Latina/o Cultrl St","210
001","29","3.466","27.6","41.4","27.6","3.4",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231
001","9","3.333","11.1","44.4","44.4",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Mexican-American Politics","302
001","11","2.727","27.3","36.4","9.1",".",".","9.1","18.2","",".","",".",".","",".","",".",".",".",".","."
"Chic/Lat Educ Justice","321
001","17","3.750","58.8","29.4",".","5.9",".",".",".","",".","",".",".","",".","",".","5.9",".",".","."
"Topics in Chicano/a Studies","330
001","29","3.661","37.9","51.7","6.9",".",".",".",".","",".","",".",".","",".","",".","3.4",".",".","."
"Race, Ethnicity, and Media","347
001","18","2.833","16.7","22.2","16.7","11.1","27.8","5.6",".","",".","",".",".","",".","",".",".",".",".","."
"Latinx Popular Culture","364
001","4","3.875","75.0","25.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443
001","20","3.475","40.0","40.0","10.0","5.0",".","5.0",".","",".","",".",".","",".","",".",".",".",".","."
"Chic Lat US Social Mvmt","501
001","16","3.769","62.5","6.3","6.3","6.3",".",".",".","",".","",".",".","",".","",".","18.8",".",".","."
"Latinx Digital Publics","520
001","3","3.333","66.7",".",".",".","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"Latin@ Mental Health","525
001","20","4.000","95.0",".",".",".",".",".",".","",".","",".",".","",".","",".","5.0",".",".","."
"","699
012","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
020","1","",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","100.0","."
"Directed Study","Course Total","5","4.000","80.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","20.0","."
"CHICLA
228","Dept. Total","294","3.603","54.4","25.5","10.2","2.4","2.4","1.0","1.0","",".","",".",".","",".","",".","2.4",".","0.3","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.562","48.7","20.5","28.2","2.6",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","94","3.600","53.2","27.7","11.7","2.1","4.3","1.1",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","71","3.545","53.5","25.4","5.6","2.8",".","2.8","2.8","",".","",".",".","",".","",".","7.0",".",".","."
"Senior","","87","3.663","58.6","25.3","4.6","2.3","3.4",".","1.1","",".","",".",".","",".","",".","2.3",".","1.1","1.1"
"Undergraduates","","291","3.600","54.3","25.4","10.3","2.4","2.4","1.0","1.0","",".","",".",".","",".","",".","2.4",".","0.3","0.3"
"Graduate","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","294","3.603","54.4","25.5","10.2","2.4","2.4","1.0","1.0","",".","",".",".","",".","",".","2.4",".","0.3","0.3"
