"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682
031","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
016","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
032","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
050","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","3","3.625","66.7",".","33.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","710
001","24","3.792","66.7","25.0","8.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","710
002","28","3.839","67.9","32.1",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","710
010","11","3.909","90.9",".","9.1",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","710
011","12","3.875","75.0","25.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Div, Opp & Soc Justice Soc Wrk","Course Total","75","3.840","72.0","24.0","4.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Human Behavior & Environmnt","711
010","25","3.840","76.0","16.0","8.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
010","18","4.000","94.4",".",".",".",".","",".","",".",".","",".",".","",".","",".","5.6",".",".","."
"","746
001","4","3.875","75.0","25.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","746
002","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","6","3.917","83.3","16.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","799
050","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
001","13","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
002","12","3.958","91.7","8.3",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
003","13","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
004","14","3.821","85.7","7.1",".",".","7.1","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
005","16","3.906","81.3","18.8",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
006","8","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
009","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
010","5","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
011","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
014","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
101","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
102","11","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
103","12","3.917","91.7",".","8.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
104","9","3.667","55.6","22.2","22.2",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
105","7","3.929","85.7","14.3",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
201","5","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","801
202","14","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","156","3.943","92.3","5.1","1.9",".","0.6","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Soc Work Prac in Schools II","817
030","33","4.000","97.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","3.0",".",".","."
"Soc Wrk Practicum Schools II","818
030","17","",".",".",".",".",".","",".","",".","94.1","",".",".","",".","",".","5.9",".",".","."
"Mental Hlth Policies&Services","836
001","33","3.773","63.6","27.3","9.1",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
001","19","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
002","20","3.850","80.0","10.0","10.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
010","24","3.792","62.5","33.3","4.2",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
011","22","3.818","68.2","27.3","4.5",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
020","16","3.938","87.5","12.5",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Macro Practice","Course Total","101","3.871","78.2","17.8","4.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
