"CHEMICAL & BIOLOGICAL ENGR Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"790
025","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"790
026","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"790
027","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"Course Total
Master's Research or Thesis","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
005","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
007","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
009","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
012","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
016","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
018","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
021","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
030","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
033","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
034","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
035","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
037","","1","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"890
040","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
041","","2","","",".","",".","",".",".","",".","",".","",".","50.0","50.0",".","",".",".","",".",".",".","."
"890
043","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"890
044","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"Course Total
Pre-Dissertator's Research","","34","","",".","",".","",".",".","",".","",".","",".","94.1","2.9",".","",".","2.9","",".",".",".","."
"932
001
Biotechnol Traing Prgm Smr","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"990
003","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
005","","5","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
009","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
012","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
016","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
018","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
019","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
020","","2","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
021","","8","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
030","","6","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
031","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
032","","7","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
033","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
035","","2","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
036","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
037","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
038","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
039","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
040","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"Course Total
Thesis-Research","","57","","",".","",".","",".",".","",".","",".","",".","78.9",".",".","",".","21.1","",".",".",".","."
