"ENVIR ST - GAYLORD NELSON I","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"","978
001","19
3.947","89.5","","10.5","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","978
002","31
3.984","96.8","","3.2","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","978
003","19
3.947","89.5","","10.5","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","978
004","31
3.952","90.3","","9.7","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","978
005","19
3.947","89.5","","10.5","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","978
006","19
3.974","94.7","","5.3","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","978
007","12
3.875","75.0","","25.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Envir Cons Tools Modules","Course Total","150
3.953","90.7","","9.3","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Env Cons Professional Practice","979
001","19
3.974","94.7","","5.3","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","990
001","6",".","",".","",".",".","",".","",".","",".","83.3","",".",".","",".",".","16.7",".",".","."
"","990
002","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
005","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
006","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
009","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
011","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
012","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
015","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
017","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
020","6",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
021","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
025","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
032","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
036","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
052","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
055","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
056","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
062","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
069","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
070","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
079","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
084","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
087","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
095","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
097","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
101","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
104","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
106","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990
110","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
114","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
117","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"Research","Course Total","54",".","",".","",".",".","",".","",".","",".","64.8","",".",".","",".","33.3","1.9",".",".","."
"","999
034","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","999
056","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","999
097","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","999
117","1
3.000",".","",".","100.0","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 168 of 454",""
