"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freedom Fate and Choice","530
001","","22","3.333","31.8","13.6","36.4","13.6","",".","",".","",".","4.5","",".",".","",".","",".",".",".",".","."
"","541
001","","25","3.521","32.0","40.0","20.0","4.0","",".","",".","",".",".","",".",".","",".","",".","4.0",".",".","."
"","541
002","","3","3.833","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Modern Ethical Theories","Course Total","","28","3.556","35.7","39.3","17.9","3.6","",".","",".","",".",".","",".",".","",".","",".","3.6",".",".","."
"Philos Concepts-Tch&Learng","545
001","","8","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Philosophy of Mind","551
001","","26","3.229","23.1","19.2","38.5","7.7","",".","","3.8","",".","3.8","",".",".","",".","",".",".",".","3.8","."
"Ethical Issues in Health Care","558
001","","9","3.833","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","560
001","","22","3.591","40.9","36.4","22.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","560
002","","4","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Metaphysics","Course Total","","26","3.615","42.3","38.5","19.2",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","599
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","599
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","682
016","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","682
017","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","682
026","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","701
001","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","701
002","","3","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","701
003","","3","",".",".",".",".","",".","",".","",".","66.7","",".",".","",".","",".","33.3",".",".","."
"","701
004","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","701
005","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Reading Seminar","Course Total","","12","4.000","25.0",".",".",".","",".","",".","",".","66.7","",".",".","",".","",".","8.3",".",".","."
"Advanced History-Philosophy","835
001","","11","3.800","63.6","18.2","9.1",".","",".","",".","",".",".","",".",".","",".","",".","9.1",".",".","."
"Seminar-Logic","911
001","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Seminar-Philosophy of Mind","951
001","","11","3.818","81.8",".","18.2",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Soc-Pol Phil","955
001","","10","4.000","50.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","50.0",".",".","."
"Metaphysics Seminar","960
001","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","990
010","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
034","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
045","","6","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
055","","4","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
066","","2","",".",".",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
079","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Research and Thesis","Course Total","","17","",".",".",".",".","",".","",".","",".","88.2","",".",".","",".","11.8","",".",".",".","."
"","999
015","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","999
017","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","999
055","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","999
066","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","999
079","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","999
081","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","999
084","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
