"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"LANDSCAPE ARCHITECTURE","Section","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro Land Arch Design","210","003","13","3.962","92.3","7.7",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Landscape Invntry&Eval Meth","211","001","43","3.833","76.7","4.7","4.7","2.3","2.3",".","",".",".","",".",".","",".","",".","4.7","4.7",".","."
"History of Landscape Arch","260","001","172","3.761","52.3","20.3","4.1","1.2","0.6","0.6","",".","20.9","",".",".","",".","",".",".",".",".","."
"Health Promoting Environments","321","002","16","3.538","18.8","50.0","12.5",".",".",".","",".",".","",".",".","",".","",".","18.8",".",".","."
"Landscape Arch Technology I","353","001","15","3.250","26.7","26.7","20.0","6.7","13.3",".","",".",".","",".",".","",".","",".","6.7",".",".","."
"Wetlands Ecology","361","001","10","3.563","20.0","50.0","10.0",".",".",".","",".",".","",".",".","",".","",".","20.0",".",".","."
"","375","001","14","3.714","64.3","28.6",".",".","7.1",".","",".",".","",".",".","",".","",".",".",".",".","."
"","375","002","28","3.365","32.1","25.0","25.0","7.1",".","3.6","",".",".","",".",".","",".","",".","3.6",".","3.6","."
"Special Topics","","Course Total","42","3.581","42.9","26.2","16.7","4.8","2.4","2.4","",".",".","",".",".","",".","",".","2.4",".","2.4","."
"Internship in Land Arch","397","001","1","",".",".",".",".",".",".","",".",".","",".","100.0","",".","",".",".",".",".","."
"Evolution-American Planning","463","001","13","4.000","76.9",".",".",".",".",".","",".",".","",".",".","",".","",".","23.1",".",".","."
"Housing and Urban Design","561","001","13","3.577","30.8","53.8","15.4",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Open Space Planning&Design","562","001","13","3.538","23.1","69.2",".","7.7",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prescribed Fire Implementation","581","001","24","3.958","91.7","8.3",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Capstone in Land Architecture","611","001","7","3.583","28.6","42.9","14.3",".",".",".","",".",".","",".",".","",".","",".","14.3",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677","001","18","3.667","50.0","16.7","11.1","5.6",".",".","",".",".","",".",".","",".","",".","16.7",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","14","3.625","64.3",".","7.1","7.1","7.1",".","",".",".","",".",".","",".","",".","14.3",".",".","."
"","699","001","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","007","5","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","6","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Research in Landscape Arch","740","001","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Nat Plnt Comm Restoratn&Mgt","866","001","5","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate Seminar","940","001","4","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","990","002","2","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","015","3","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Research","","Course Total","5","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","999","001","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","999","002","2","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","999","020","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Independent Studies","","Course Total","4","4.000","50.0",".",".",".",".",".","",".","50.0","",".",".","",".","",".",".",".",".","."
