"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","","","",""
"Electronic Circuits I","340
002","96","3.401","35.4","31.3","15.6","13.5","4.2",".",".",".","",".",".","",".","",".","",".",".",".","."
"Electronic Circuits II","342
001","90","3.100","35.6","6.7","26.7","11.1","17.8","1.1","1.1",".","",".",".","",".","",".","",".",".",".","."
"Digital System Fundamentals","352
001","114","3.224","30.7","23.7","17.5","17.5","9.6","0.9",".",".","",".",".","",".","",".","",".",".",".","."
"Intro to Microprocessor Sys","353
001","89","3.287","30.3","33.7","12.4","14.6","7.9",".","1.1",".","",".",".","",".","",".","",".",".",".","."
"","354
001","39","2.859","17.9","25.6","25.6","7.7","12.8","2.6","7.7",".","",".",".","",".","",".","",".",".",".","."
"","354
002","31","2.871","22.6","19.4","19.4","19.4","6.5","9.7","3.2",".","",".",".","",".","",".","",".",".",".","."
"","354
003","31","3.161","19.4","25.8","29.0","19.4","6.5",".",".",".","",".",".","",".","",".","",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","101","2.955","19.8","23.8","24.8","14.9","8.9","4.0","4.0",".","",".",".","",".","",".","",".",".",".","."
"","002
355","46","3.391","23.9","45.7","21.7","6.5",".","2.2",".",".","",".",".","",".","",".","",".",".",".","."
"","355
003","9","3.444","22.2","44.4","33.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Electromech Energy Conversn","Course Total","55","3.400","23.6","45.5","23.6","5.5",".","1.8",".",".","",".",".","",".","",".","",".",".",".","."
"","370
001","17","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","370
002","16","3.813","75.0","12.5","12.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","370
003","10","3.950","90.0","10.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","370
004","18","3.861","83.3","5.6","11.1",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Advanced Laboratory","Course Total","61","3.902","86.9","6.6","6.6",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Electricl&Electronc Circuit","376
001","128","2.941","28.1","16.4","16.4","15.6","14.1","7.8","1.6",".","",".",".","",".","",".","",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","84","3.137","17.9","29.8","29.8","11.9","8.3","2.4",".",".","",".",".","",".","",".","",".",".",".","."
"","399
009","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
012","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
016","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
018","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
027","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
041","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
042","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
054","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
060","2","3.600","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
065","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
066","15","3.915","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
096","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","39","3.943","89.7","7.7","2.6",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Electroacoustical Engr","401
001","58","3.569","55.2","25.9","13.8","1.7",".",".","3.4",".","",".",".","",".","",".","",".",".",".","."
"","412
001","56","3.582","53.6","19.6","16.1","5.4","3.6",".",".","1.8","",".",".","",".","",".","",".",".",".","."
"","412
003","14","3.786","78.6","14.3",".",".","7.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"Power Electronic Circuits","Course Total","70","3.623","58.6","18.6","12.9","4.3","4.3",".",".","1.4","",".",".","",".","",".","",".",".",".","."
"Digital Signl Processng Lab","432
001","22","3.545","68.2","13.6","4.5","4.5","4.5",".","4.5",".","",".",".","",".","",".","",".",".",".","."
"Photonics","434
001","17","2.647","11.8","11.8","23.5","23.5","23.5",".","5.9",".","",".",".","",".","",".","",".",".",".","."
"","435
001","4","2.875","50.0","25.0",".",".",".",".","25.0",".","",".",".","",".","",".","",".",".",".","."
"","435
002","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Introduction to Cryptography","Course Total","6","3.250","66.7","16.7",".",".",".",".","16.7",".","",".",".","",".","",".","",".",".",".","."
"Communication Systems II","437
001","15","3.533","46.7","20.0","26.7","6.7",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Introduction to Robotics","439
001","27","3.444","37.0","25.9","25.9","11.1",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 125 of 454",""
