"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","","",""
"","371
005","124","3.190","29.8","19.4","27.4","8.9","13.7",".","0.8",".","",".",".","",".","",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","599","3.013","25.5","16.7","24.7","12.9","15.0","3.3","1.5",".","",".",".","",".","",".","0.3",".",".","."
"","424
001","61","3.434","55.7","11.5","19.7","3.3","3.3","6.6",".",".","",".",".","",".","",".",".",".",".","."
"","424
002","47","3.000","21.3","29.8","17.0","17.0","8.5",".","6.4",".","",".",".","",".","",".",".",".",".","."
"Stat Expermntl Design","Course Total","108","3.245","40.7","19.4","18.5","9.3","5.6","3.7","2.8",".","",".",".","",".","",".",".",".",".","."
"","431
001","7","3.357","42.9","14.3","14.3","28.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","431
002","9","3.222","44.4","22.2",".","22.2",".","11.1",".",".","",".",".","",".","",".",".",".",".","."
"","431
003","8","2.938","12.5","25.0","37.5","12.5",".","12.5",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Theory of Probability","Course Total","24","3.167","33.3","20.8","16.7","20.8",".","8.3",".",".","",".",".","",".","",".",".",".",".","."
"","451
001","87","3.747","69.0","17.2","5.7","2.3","3.4",".",".","2.3","",".",".","",".","",".",".",".",".","."
"","451
002","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Machine Learning","Course Total","93","3.764","71.0","16.1","5.4","2.2","3.2",".",".","2.2","",".",".","",".","",".",".",".",".","."
"","475
001","7","3.143","28.6","14.3","28.6","14.3","14.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","475
002","4","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","475
004","7","2.071","28.6",".",".","14.3","28.6",".","28.6",".","",".",".","",".","",".",".",".",".","."
"Intro-Combinatorics","Course Total","18","2.889","38.9","11.1","11.1","11.1","16.7",".","11.1",".","",".",".","",".","",".",".",".",".","."
"","479
001","75","3.653","65.3","18.7","4.0","5.3","6.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","479
002","7","3.929","85.7","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","479
003","43","3.744","72.1","9.3","14.0","4.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","479
004","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","479
005","43","3.907","93.0",".","4.7",".","2.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","479
006","5","3.600","80.0",".",".",".","20.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Spec Topics in Stats","Course Total","175","3.751","75.4","10.9","6.3","3.4","4.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Linear Optimization","525
001","12","2.667","33.3",".","8.3","33.3",".","25.0",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Clinical Trials I","542
003","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","48","3.552","35.4","39.6","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Statistical Methods I","601
001","17","3.794","58.8","41.2",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","602
001","19","3.816","63.2","36.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","602
002","39","3.949","89.7","10.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Statistical Methods II","Course Total","58","3.905","81.0","19.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","610
001","34","3.559","35.3","41.2","23.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","610
002","21","3.667","42.9","47.6","9.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Statistical Inference","Course Total","55","3.600","38.2","43.6","18.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","615
001","25","3.660","68.0",".","28.0","4.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","615
002","43","3.767","76.7",".","23.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Statistical Learning","Course Total","68","3.728","73.5",".","25.0","1.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof. Skills Data Science","627
001","8","3.938","87.5","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","632
002","6","2.917","33.3",".","33.3","16.7",".","16.7",".",".","",".",".","",".","",".",".",".",".","."
"","632
003","11","3.136","36.4","9.1","27.3",".","27.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","17","3.059","35.3","5.9","29.4","5.9","17.6","5.9",".",".","",".",".","",".","",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","17","3.594","58.8","11.8","11.8","5.9","5.9",".",".",".","",".",".","",".","",".","5.9",".",".","."
"","679
002","24","3.688","45.8","45.8","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
