"","999
071","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","999
075","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","999
092","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","15","4.000","86.7",".",".",".",".",".",".","6.7","",".",".",".","",".","6.7",".",".","."
"NURSING
692","Dept. Total","2520","3.638","46.1","18.4","6.7","2.1","0.8","0.2","0.1","1.9","",".","23.3","0.1","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","2.929","12.5","25.0",".","37.5","12.5",".",".",".","",".","12.5",".","",".",".",".",".","."
"Sophomore","","34","3.678","52.9","32.4","8.8","5.9",".",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","229","3.564","45.0","19.7","9.6","2.6","3.5",".","0.4",".","",".","19.2",".","",".",".",".",".","."
"Senior","","1874","3.579","40.2","19.8","7.5","2.3","0.6","0.2",".","0.1","",".","28.9","0.1","",".","0.1",".",".","."
"Undergraduates","","2145","3.577","40.8","20.0","7.7","2.5","1.0","0.1","0.0","0.1","",".","27.3","0.1","",".","0.1",".",".","."
"Special","","15","3.758","46.7","26.7","6.7",".",".",".",".","13.3","",".",".",".","",".","6.7",".",".","."
"Graduate","","354","3.918","77.4","8.5","0.8",".",".","0.3","0.3","12.4","",".",".",".","",".","0.3",".",".","."
"Prof Yr 4","","6","3.912","83.3","16.7",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Professionals","","6","3.912","83.3","16.7",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","Dept. Total","2520","3.638","46.1","18.4","6.7","2.1","0.8","0.2","0.1","1.9","",".","23.3","0.1","",".","0.2",".",".","."
