"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","842
001","","24","3.917","87.5","8.3","4.2",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","842
010","","9","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","Course Total","","33","3.939","90.9","6.1","3.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","","25","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Recent Developmnts-Soc Work","863
001","","2","4.000","50.0",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".",".",".",".","."
"Cog & MH Treatments for Adults","870
001","","22","3.977","95.5","4.5",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Family Violence","923
001","","10","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","929
001","","24","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","929
010","","17","3.933","82.4",".","5.9",".","",".","",".","",".",".","",".",".","",".","",".","11.8",".",".","."
"Social Work & Substance Use","Course Total","","41","3.974","92.7",".","2.4",".","",".","",".","",".",".","",".",".","",".","",".","4.9",".",".","."
"Evaluation Research","945
001","","14","3.850","50.0","21.4",".",".","",".","",".","",".",".","",".",".","",".","",".","28.6",".",".","."
"Student Research Seminar","947
001","","16","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"PhD Proseminar","951
001","","13","3.692","46.2","46.2","7.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","990
009","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
023","","1","",".",".",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
031","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
032","","1","",".",".",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
040","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
042","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
050","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Thesis-Research","Course Total","","8","",".",".",".",".","",".","",".","",".","75.0","",".",".","",".","25.0","",".",".",".","."
"","999
005","","3","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","999
031","","2","",".",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".",".",".","50.0","."
"","999
048","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","999
051","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","999
071","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Independent Reading","Course Total","","9","4.000","44.4",".",".",".","",".","",".","",".","44.4","",".",".","",".","",".",".",".","11.1","."
