"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Literature","103
001","16","3.821","75.0","6.3",".",".","6.3",".",".",".","",".",".","",".","",".","12.5",".",".","."
"","145
001","269","3.957","94.1","2.2","1.9","0.4","0.4",".",".",".","",".",".","",".","",".",".","0.7",".","0.4"
"","002
145","338","3.876","86.7","3.6","1.2","1.8","0.9","0.3","0.9","0.6","",".",".","",".","",".","0.3","3.8",".","."
"How to Succeed in College","Course Total","607","3.912","90.0","3.0","1.5","1.2","0.7","0.2","0.5","0.3","",".",".","",".","",".","0.2","2.5",".","0.2"
"","001
210","16","3.656","75.0","12.5",".","6.3",".","6.3",".",".","",".",".","",".","",".",".",".",".","."
"","210
002","19","3.947","89.5","10.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
003","18","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
004","18","3.882","77.8","11.1","5.6",".",".",".",".","5.6","",".",".","",".","",".",".",".",".","."
"","210
005","14","3.964","92.9","7.1",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
006","16","3.875","93.8",".",".",".","6.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
007","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
008","20","3.950","90.0","10.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
009","18","3.833","83.3",".","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
010","15","3.867","93.3",".",".",".","6.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
011","14","3.357","78.6",".",".",".","7.1","7.1","7.1",".","",".",".","",".","",".",".",".",".","."
"","210
012","17","3.882","88.2","5.9",".","5.9",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
013","20","3.225","60.0","15.0","5.0",".",".","15.0","5.0",".","",".",".","",".","",".",".",".",".","."
"L&S Career Development","Course Total","220","3.801","85.9","5.9","2.3","0.9","1.4","2.3","0.9","0.5","",".",".","",".","",".",".",".",".","."
"Communicating About Careers","001
215","132","3.731","84.1","3.0","1.5","5.3","3.0","2.3","0.8",".","",".",".","",".","",".",".",".",".","."
"","250
001","13","3.879","84.6","7.7","7.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","250
002","17","3.897","70.6","17.6",".",".",".",".",".",".","",".",".","",".","",".","11.8",".",".","."
"","250
003","16","3.971","93.8","6.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","250
004","15","3.813","40.0","26.7",".",".",".",".",".","6.7","",".",".","",".","",".","26.7",".",".","."
"","250
005","13","3.900","76.9","23.1",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","250
006","17","3.967","76.5","5.9",".",".",".",".",".",".","",".",".","",".","",".","17.6",".",".","."
"","250
007","19","3.885","73.7","21.1",".",".",".",".",".",".","",".",".","",".","",".","5.3",".",".","."
"","250
008","18","3.923","77.8","16.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","5.6"
"","250
009","15","3.839","60.0","20.0","6.7",".",".",".",".",".","",".",".","",".","",".","13.3",".",".","."
"","250
010","15","3.929","73.3","13.3",".",".",".",".",".",".","",".",".","",".","",".","13.3",".",".","."
"Undergrad Research Experience","Course Total","158","3.904","72.8","15.8","1.3",".",".",".",".","0.6","",".",".","",".","",".","8.9",".",".","0.6"
"Intrnshp in Liberal Arts & Sci","260
001","30","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
