"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","","","",""
"","344
013","15","3.267","33.3","6.7","46.7","6.7","6.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
014","14","3.107","28.6",".","50.0","7.1","14.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
015","15","3.433","46.7","20.0","13.3","13.3","6.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
016","17","3.353","47.1","5.9","23.5","17.6","5.9",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
017","13","3.115","23.1",".","61.5","7.7","7.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
018","12","3.167","16.7","16.7","58.3",".","8.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
019","17","3.206","29.4","17.6","23.5","23.5","5.9",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
020","15","3.167","13.3","33.3","26.7","26.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
021","15","3.333","33.3","20.0","33.3","6.7","6.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
022","15","2.933","20.0","20.0","33.3","6.7","13.3",".","6.7","",".","",".",".","",".","",".","",".",".",".","."
"","344
023","17","3.000","11.8","29.4","35.3","17.6",".",".","5.9","",".","",".",".","",".","",".","",".",".",".","."
"","344
024","16","3.188","31.3","12.5","31.3","12.5","12.5",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
027","15","3.133","20.0","20.0","40.0","6.7","13.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
028","14","3.321","35.7","28.6","14.3","7.1","14.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
029","17","3.294","35.3","11.8","41.2",".","11.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
