"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","86","2.682","12.8","16.3","18.6","16.3","26.7","7.0","1.2","",".","",".",".","",".","",".",".",".",".","1.2"
"","002
101","96","2.573","6.3","14.6","29.2","18.8","20.8","5.2","5.2","",".","",".",".","",".","",".",".",".",".","."
"Animal Biology","Course Total","182","2.624","9.3","15.4","24.2","17.6","23.6","6.0","3.3","",".","",".",".","",".","",".",".",".",".","0.5"
"","102
001","8","3.000","12.5","25.0","37.5",".","25.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
002","5","3.300","40.0",".","40.0","20.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
003","8","3.500","37.5","37.5","12.5","12.5",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
004","6","2.833","16.7","16.7","16.7","16.7","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
005","8","3.250","25.0","25.0","25.0","25.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
006","5","2.600","20.0","20.0",".","20.0","20.0","20.0",".","",".","",".",".","",".","",".",".",".",".","."
"","102
007","7","2.786",".","14.3","42.9","28.6","14.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
008","8","3.313","25.0","12.5","62.5",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
009","11","3.318","27.3","36.4","18.2","9.1","9.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
010","7","3.357","28.6","14.3","57.1",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
011","7","3.214","14.3","42.9","28.6",".","14.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
012","7","3.000","14.3","28.6","14.3","28.6","14.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
013","12","3.000","25.0","25.0","25.0","8.3","8.3",".","8.3","",".","",".",".","",".","",".",".",".",".","."
"","102
014","6","3.500","33.3","16.7","33.3",".",".",".",".","",".","",".",".","",".","",".",".","16.7",".","."
"","102
015","6","3.583","66.7","16.7",".",".","16.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
016","7","3.214","28.6","14.3","28.6","28.6",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
017","9","3.167","22.2","11.1","44.4","22.2",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
018","6","3.250","16.7","16.7","66.7",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
019","9","3.167","11.1","44.4","22.2","11.1","11.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
020","6","3.417","33.3","33.3","16.7","16.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Animal Biology Laboratory","Course Total","148","3.187","24.3","23.6","29.7","12.2","8.1","0.7","0.7","",".","",".",".","",".","",".",".","0.7",".","."
"Introductory Biology","151
001","81","2.994","28.4","7.4","38.3","3.7","13.6","4.9","2.5","",".","",".",".","",".","",".","1.2",".",".","."
"","001
152","116","3.119","31.9","6.9","36.2","6.0","12.1","4.3",".","",".","",".",".","",".","",".","2.6",".",".","."
"","152
002","123","3.159","30.9","8.9","41.5","3.3","13.8","0.8","0.8","",".","",".",".","",".","",".",".",".",".","."
"Introductory Biology","Course Total","239","3.140","31.4","7.9","38.9","4.6","13.0","2.5","0.4","",".","",".",".","",".","",".","1.3",".",".","."
"Introductory Biology","153
001","39","2.744","20.5","5.1","35.9","5.1","23.1","7.7","2.6","",".","",".",".","",".","",".",".",".",".","."
"Directed Study","199
024","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Introductory Ecology","260
001","40","3.188","35.0","15.0","17.5","17.5","15.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
011","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
018","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
019","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
024","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
030","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
052","3","3.714","66.7",".","33.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
063","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
066","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
078","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
079","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Directed Studies in Zoology","Course Total","20","3.950","95.0",".","5.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Invertebrate Zoology Lab","301
001","11","3.909","81.8","18.2",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Introduction to Entomology","302
001","7","3.714","42.9","57.1",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 345 of 454",""
