"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","","","","",""
"Negotiations","Course Total","119","3.637","50.4","21.0","27.7",".","0.8","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Entrepreneurship-Arts&CultOrgs","636
001","17","3.824","82.4",".","17.6",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","24","3.522","29.2","41.7","25.0",".",".","",".","",".","4.2","",".",".","",".","",".",".",".",".","."
"Strategic Mgmt of Innovation","715
001","39","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","722
001","33","3.750","48.5","48.5",".",".",".","",".","",".","3.0","",".",".","",".","",".",".",".",".","."
"","722
030","36","3.931","86.1","13.9",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Entrepreneurial Management","Course Total","69","3.846","68.1","30.4",".",".",".","",".","",".","1.4","",".",".","",".","",".",".",".",".","."
"","723
003","23","3.500","39.1","26.1","30.4","4.3",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","723
020","42","3.560","31.0","50.0","19.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","723
021","39","3.436","23.1","43.6","30.8","2.6",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","723
022","1","2.500",".",".",".","100.0",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","723
050","55","3.645","45.5","40.0","12.7","1.8",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Business Strategy","Course Total","160","3.541","35.0","41.3","21.3","2.5",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","17","3.794","82.4","5.9","5.9",".","5.9","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Weinert Appl Ventr in Entreshp","738
001","27","3.963","92.6","7.4",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Technology Entrepreneurship","741
001","9","3.778","55.6","44.4",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Nonprfit Brd Leadrship Devo II","743
001","18","3.861","88.9","5.6",".",".","5.6","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","747
001","16","3.906","87.5","6.3","6.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","747
002","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Impact Consulting for Arts II","Course Total","17","3.914","88.2","5.9","5.9",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","765
001","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","765
002","9","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","765
003","17","3.824","76.5","17.6",".","5.9",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","765
008","19","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","765
040","23","3.739","73.9",".","26.1",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Contemporary Topics","Course Total","70","3.863","85.7","4.3","8.6","1.4",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Seminar-Arts Administration","774
001","17","3.882","76.5","23.5",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Reading & Rsch-Management","799
001","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","",".","100.0",".",".","."
"Smr-Org Behavior & Design","872
001","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","976
001","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","990
018","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
061","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
080","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
129","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
133","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
146","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
208","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"PhD Thesis-Management","Course Total","8","",".",".",".",".",".","",".","",".","37.5","",".",".","",".","62.5","",".",".",".","."
