"L&S","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Greek","104
001","","3","3.667","33.3","66.7",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Greek","304
001","","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intermediate Greek","306
001","","2","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Hesiod","511
001","","11","3.700","45.5","36.4","9.1","",".","",".","",".","",".","9.1","",".",".","",".","",".",".",".",".","."
"Directed Study","699
022","","1","",".",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","100.0",".",".","."
"GREEK
428","Dept. Total","","18","3.745","50.0","33.3","5.6","",".","",".","",".","",".","5.6","",".",".","",".","",".","5.6",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","","","4","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","","","6","3.738","50.0","50.0",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","","11","3.750","54.5","27.3","9.1","",".","",".","",".","",".",".","",".",".","",".","",".","9.1",".",".","."
"","Dept. Total","","18","3.745","50.0","33.3","5.6","",".","",".","",".","",".","5.6","",".",".","",".","",".","5.6",".",".","."
