"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100
001","","131","3.540","55.0","14.5","18.3","1.5","3.1","","2.3","0.8","","1.5","",".",".","",".",".","",".",".","3.1","."
"Plants, Parasites, & People","123
001","","81","3.494","54.3","16.0","13.6","6.2","4.9","","1.2","1.2","",".","",".",".","",".",".","","2.5",".",".","."
"General Botany","130
001","","111","2.963","22.5","13.5","30.6","6.3","20.7","","4.5",".","","0.9","",".",".","",".",".","",".","0.9",".","."
"Introductory Biology","151
001","","5","3.000","20.0","20.0","20.0","20.0","20.0","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","152
001","","4","3.375","50.0",".","25.0","25.0",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","152
002","","6","3.167","16.7",".","83.3",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Introductory Biology","Course Total","","10","3.250","30.0",".","60.0","10.0",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Changed Landscapes: Wisconsin","211
001","","13","3.962","92.3","7.7",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Introductory Ecology","260
001","","27","2.889","29.6","3.7","22.2","18.5","22.2","",".","3.7","",".","",".",".","",".",".","",".",".",".","."
"","299
003","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","299
012","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","299
032","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","299
034","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","299
041","","1","3.000",".",".","100.0",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Directed Study in Botany","Course Total","","6","3.818","83.3",".","16.7",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Plant Morphology & Evolution","305
001","","16","3.542","25.0","31.3","18.8",".",".","",".",".","","6.3","",".",".","",".",".","","18.8",".",".","."
"Fungi","332
001","","19","3.553","52.6","26.3","10.5",".","10.5","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Biology of the Fungi","333
001","","22","2.905","13.6","27.3","22.7","9.1","18.2","",".","4.5","",".","",".",".","",".",".","",".",".","4.5","."
"Vascular Flora of Wisconsin","401
001","","42","3.679","59.5","23.8","9.5","7.1",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Evolutionary Biology","410
001","","22","3.500","50.0","4.5","40.9","4.5",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"General Ecology","460
001","","31","2.817","29.0","6.5","29.0","3.2","12.9","","12.9","3.2","","3.2","",".",".","",".",".","",".",".",".","."
"Plant-Insect Interactions","473
001","","12","3.958","91.7","8.3",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","499
003","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","499
029","","1","3.000",".",".","100.0",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","499
030","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","499
034","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Intermediate Directed Research","Course Total","","6","3.786","83.3",".","16.7",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","500
002","","23","3.283","34.8","13.0","34.8","8.7","8.7","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","500
010","","5","3.400","40.0","20.0","20.0","20.0",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Plant Physiology","Course Total","","28","3.299","35.7","14.3","32.1","10.7","7.1","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Plant-Microbe Interactions","505
001","","5","3.000","20.0","20.0",".","20.0","20.0","",".",".","","20.0","",".",".","",".",".","",".",".",".","."
"Phylogenetic Anal-Molec Data","563
001","","17","3.618","58.8","11.8","23.5","5.9",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","575
004","","12","3.458","50.0","41.7",".",".",".","",".","8.3","",".","",".",".","",".",".","",".",".",".","."
"","575
005","","14","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Special Topics","Course Total","","26","3.838","76.9","19.2",".",".",".","",".","3.8","",".","",".",".","",".",".","",".",".",".","."
"Historical Ecology","672
001","","7","4.000","71.4",".",".",".",".","",".",".","","14.3","",".",".","",".",".","","14.3",".",".","."
"Senior Honors Thesis","681
012","","1","",".",".",".",".",".","",".",".","",".","",".",".","",".","100.0","",".",".",".","."
"","682
032","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","682
034","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior Honors Thesis","Course Total","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
