"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Sports Communication","150","001","25","3.840","96.0",".",".",".",".",".","4.0",".","",".",".","",".","",".",".",".",".","."
"Spec Topics in Mass Comm","176","013","29","3.517","44.8","34.5","6.9","6.9","6.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Mass Communication","201","001","258","3.422","45.7","21.3","18.6","7.8","2.3","0.8","2.3",".","",".",".","",".","",".","1.2",".",".","."
"Mass Communication Practices","202","001","98","3.638","39.8","50.0","8.2","2.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Information for Communication","203","001","98","3.633","51.0","32.7","10.2","4.1","2.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","335","001","18","3.806","66.7","27.8","5.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","335","002","20","3.650","40.0","50.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Principles/Practices-Reporting","","Course Total","38","3.724","52.6","39.5","7.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","345","001","33","3.818","69.7","24.2","6.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","345","002","40","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Principles & Pract Strat Comm","","Course Total","73","3.918","86.3","11.0","2.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Survey Research","373","001","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Creative Nonfiction","405","001","16","3.969","93.8","6.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Investigative Reporting","420","001","11","3.773","63.6","27.3","9.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Strategic Media Planning","447","001","25","3.604","56.0","28.0","8.0",".",".",".","4.0","4.0","",".",".","",".","",".",".",".",".","."
"Advanced Sports Communication","450","001","23","3.696","47.8","43.5","8.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Storytelling Through Sound","457","001","16","3.967","87.5","6.3",".",".",".",".",".",".","",".",".","",".","",".","6.3",".",".","."
"Public Relations Strategies","464","001","22","3.750","68.2","22.7",".","9.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Social Media Marketing Communi","465","001","24","3.729","62.5","25.0","8.3","4.2",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","475","045","13","3.577","46.2","30.8","15.4","7.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Mass Communication&Society","561","001","49","3.582","40.8","36.7","20.4","2.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Media and the Consumer","564","001","82","3.710","54.9","31.7","11.0","1.2",".",".",".",".","",".",".","",".","",".","1.2",".",".","."
"Communicatn&Public Opinion","566","001","37","3.905","86.5","8.1","5.4",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Colloquium Prof Comm Careers","601","001","54","",".",".",".",".",".",".",".",".","",".","94.4","","5.6","",".",".",".",".","."
"","617","001","8","3.938","87.5","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","617","002","15","3.700","60.0","20.0","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","617","003","5","3.900","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Hlth Communication-Info Age","","Course Total","28","3.804","71.4","17.9","10.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Mass Comm & Political Behav","618","001","24","3.813","62.5","37.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Mass Media and Minorities","662","001","21","3.643","47.6","38.1","9.5","4.8",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Literary Aspects of Journ","669","001","22","3.952","86.4","9.1",".",".",".",".",".",".","",".",".","",".","",".","4.5",".",".","."
"Topics-Govt & Mass Media","675","005","15","3.867","80.0","13.3","6.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics-Mass Communication","676","00A","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682","002","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".","100.0",".",".","."
"","682","093","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".","",".","50.0",".",".","."
"","697","005","2","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"","697","007","3","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"","697","015","3","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
