"AGRONOMY","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Independent Study","299
014","3
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Cropping Systems","300
001","15
3.433","60.0","","13.3","",".","6.7","","20.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Plant Nutrition Management","326
001","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Plant Breeding&Biotechnolgy","338
001","13
3.577","53.8","","23.1","","7.7","15.4","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"World Hunger & Malnutrition","350
001","55
3.565","36.4","","43.6","","12.7","5.5","",".","",".","",".",".","",".",".","",".",".","",".","1.8",".","."
"GM Crops:Sci,Reg,Controversy","360
001","9
3.389","44.4","","22.2","","11.1","11.1","","11.1","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Intro to Organic Agriculture","367
001","3
3.833","66.7","","33.3","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","375
004","3
3.500","33.3","","33.3","","33.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","375
040","8
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special Topics","Course Total","11
3.820","81.8","","9.1","","9.1",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Global Food Product & Health","377
001","102
3.931","93.1","","2.9","","2.0","1.0","","1.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Food Production & Sustainblty","471
001","18
3.861","77.8","","16.7","","5.6",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior Capstone Experience","500
001","14
3.821","71.4","","21.4","","7.1",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699
006","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699
014","3",".","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","100.0","."
"Special Problems","Course Total","5
4.000","40.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","60.0","."
"Experimental Designs","771
001","14",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".",".","",".",".",".","."
"Applications in ANOVA","772
001","13",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".",".","",".",".",".","."
"","799
004","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","100.0","."
"","799
006","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Practicum-Agronomy Teaching","Course Total","4
4.000","50.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","50.0","."
"Select Thry-Quant Traits","812
001","8
3.857","62.5","","25.0","",".",".","",".","",".","",".","12.5","",".",".","",".",".","",".",".",".","."
"Seminar","920
001","7
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Seminar-Plant Breeding","957
001","5
3.800","60.0","","40.0","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","990
002","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
005","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
007","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
010","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
012","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
013","5",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
014","5",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
018","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
020","4",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
022","4",".","",".","",".",".","",".","",".","",".","50.0","",".",".","",".","50.0","",".",".",".","."
"","990
023","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
024","3",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"Research","Course Total","36",".","",".","",".",".","",".","",".","",".","52.8","",".",".","",".","47.2","",".",".",".","."
