"GENETICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","","","",""
"Genetics in the News","133","002","188","3.676","67.0","14.9","9.6","4.8","1.6","1.6",".",".","",".",".","",".","",".",".",".","0.5","."
"","299","012","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","017","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","019","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","070","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","094","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","110","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","143","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","147","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","148","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299","149","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","","Course Total","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics","375","001","34","3.926","85.3","14.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Principles of Genetics","466","001","190","2.745","22.1","9.5","25.3","11.1","20.0","9.5","2.6",".","",".",".","",".","",".",".",".",".","."
"General Genetics 2","468","001","66","3.331","36.4","28.8","15.2","9.1","6.1","1.5","1.5",".","",".",".","",".","",".",".",".","1.5","."
"Advanced Laboratory Procedures","471","001","8","3.875","87.5",".","12.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Neurogenetics","520","001","58","3.603","58.6","20.7","10.3","6.9","1.7","1.7",".",".","",".",".","",".","",".",".",".",".","."
"","522","001","5","2.400","60.0",".",".",".",".",".","40.0",".","",".",".","",".","",".",".",".",".","."
"","522","002","9","3.722","77.8",".","11.1","11.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Communicating Evolutionary Bio","","Course Total","14","3.365","71.4",".","7.1","7.1",".",".","14.3",".","",".",".","",".","",".",".",".",".","."
"Dev Gen for Conserv Regen","527","001","30","3.683","80.0","6.7","3.3","3.3",".","6.7",".",".","",".",".","",".","",".",".",".",".","."
"Genetics Laboratory","545","001","14","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Genetics","566","001","35","3.971","94.3",".","2.9",".",".",".",".",".","",".",".","",".","",".","2.9",".",".","."
"The Central Nervous System","568","001","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"The Breast","569","001","8","3.938","87.5","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"The Gastrointestinal System","574","001","8","3.938","87.5","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Miscellaneous Systems","575","001","8","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Effusions","576","001","8","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Applied Cytology I","577","001","8","3.875","87.5",".","12.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Clinical Cases in Med Genetics","605","001","21","3.675","42.9","42.9","9.5",".",".",".",".","4.8","",".",".","",".","",".",".",".",".","."
"Eukaryotic Molecular Biology","620","001","17","3.344","11.8","47.1","29.4","5.9",".",".",".","5.9","",".",".","",".","",".",".",".",".","."
"Genomic Science","626","001","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Animal Developmental Genetics","627","001","22","3.762","68.2","13.6","9.1","4.5",".",".",".",".","",".",".","",".","",".","4.5",".",".","."
"Population Genetics","633","001","29","3.310","31.0","41.4","13.8",".","6.9","6.9",".",".","",".",".","",".","",".",".",".",".","."
"Public Health Genomics","636","001","6","3.667","50.0","33.3","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Cancer Genetics","662","001","44","3.705","68.2","9.1","18.2","4.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Seminar-Clinical Cytogenetics","670","001","8","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Smr-Lab Operatns & Qual Contrl","672","001","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Seminar in Clinical Cytology","673","001","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
