"ED LEADERSHP & POLICY ANAL Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"940
004","","12","4.000","","91.7","",".","",".",".","",".","",".","",".","8.3","",".",".","",".",".","",".",".",".","."
"Course Total
Topics Seminar-Educ Leadership","","50","4.000","","96.0","",".","",".",".","",".","",".","",".","2.0","",".",".","",".",".","","2.0",".",".","."
"990
001","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
002","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
003","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
004","","4","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
006","","10","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
007","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
008","","5","","",".","",".","",".",".","",".","",".","",".","60.0","",".",".","",".","40.0","",".",".",".","."
"990
009","","4","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
010","","4","","",".","",".","",".",".","",".","",".","",".","75.0","",".",".","",".",".","",".",".","25.0","."
"990
012","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
013","","7","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
014","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
015","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
016","","6","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
017","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
018","","6","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
019","","8","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
020","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"Course Total
Research or Thesis","","77","","",".","",".","",".",".","",".","",".","",".","92.2","",".",".","",".","6.5","",".",".","1.3","."
"999
002","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"999
003","","5","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"999
006","","2","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"999
008","","5","","",".","",".","",".",".","",".","",".","",".","80.0","",".",".","",".","20.0","",".",".",".","."
"999
013","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"999
015","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"999
016","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Course Total
Independent Reading","","16","4.000","","62.5","",".","",".",".","",".","",".","",".","31.3","",".",".","",".","6.3","",".",".",".","."
