"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Elective Pharm Pract Clkshp","Course Total","213","3.936","92.0","4.2","2.8","0.9",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","764
007","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","764
008","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","769
125","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","769
153","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","769
257","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Clin Rsrch & Pharm Investig","Course Total","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Grad Sem Hlth-System Pharmacy","962
001","8","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Independent Study","999
028","8","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1863","3.765","58.1","11.7","5.5","2.9","1.6","",".","0.1","0.1","",".","19.8","",".","",".","0.1","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","15","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","13","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","11","4.000","72.7",".",".",".",".","",".",".",".","",".","27.3","",".","",".",".",".",".","."
"Undergraduates","","42","4.000","92.9",".",".",".",".","",".",".",".","",".","7.1","",".","",".",".",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","33","3.909","72.7","12.1",".",".",".","",".",".",".","",".","12.1","",".","",".",".","3.0",".","."
"Prof Yr 1","","306","3.917","44.8","7.2","1.0",".",".","",".",".",".","",".","46.7","",".","",".",".",".",".","0.3"
"Prof Yr 2","","418","3.485","38.5","21.1","11.2","4.8","0.7","",".","0.2",".","",".","23.2","",".","",".","0.2",".",".","."
"Prof Yr 3","","677","3.507","54.1","12.6","6.4","4.7","3.8","",".","0.1","0.1","",".","18.0","",".","",".",".",".","0.1","."
"Prof Yr 4","","386","3.944","92.0","4.9","2.3","0.5",".","",".",".",".","",".",".","",".","",".","0.3",".",".","."
"Professionals","","1787","3.759","57.0","12.0","5.7","3.0","1.6","",".","0.1","0.1","",".","20.3","",".","",".","0.1",".","0.1","0.1"
"","Dept. Total","1863","3.765","58.1","11.7","5.5","2.9","1.6","",".","0.1","0.1","",".","19.8","",".","",".","0.1","0.1","0.1","0.1"
