"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","6573","2.919","31.8","11.2","22.4","8.0","15.4","6.1","2.9","0.9","0.0","0.0","0.0","0.2","0.9","0.0","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1174","2.578","19.1","9.5","21.3","9.5","24.0","10.2","5.3",".",".",".",".",".","1.1",".",".","0.1"
"Sophomore","","2455","2.896","27.8","11.4","26.3","8.5","16.2","6.1","2.9","0.0",".",".",".",".","0.7","0.1",".","."
"Junior","","1331","2.894","29.1","12.8","22.8","8.5","16.5","6.4","2.9","0.2",".",".",".",".","0.8",".",".","0.1"
"Senior","","991","3.134","38.3","12.6","21.4","8.3","10.5","4.7","1.7","0.7",".","0.1","0.1",".","1.5",".",".","."
"Undergraduates","","5951","2.857","28.1","11.6","23.7","8.7","16.9","6.8","3.2","0.2",".","0.0","0.0",".","0.9","0.0",".","0.0"
"Special","","150","3.670","68.0","10.0","14.7","0.7","4.7",".",".","0.7",".",".",".",".",".",".","1.3","."
"Graduate","","471","3.804","67.3","6.6","8.3","1.7","1.1",".",".","10.6","0.2",".",".","2.8","0.6",".",".","0.8"
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".","100.0",".","."
"Professionals","","1","***","","","","","","","","","",".",".",".",".","100.0",".","."
"","Dept. Total","6573","2.919","31.8","11.2","22.4","8.0","15.4","6.1","2.9","0.9","0.0","0.0","0.0","0.2","0.9","0.0","0.0","0.1"
