"CIVIL SOC & COMMUNITY STUDI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","","","","","",""
"Community and Social Change","125","001","","57","3.652","70.2","10.5","7.0","5.3","3.5",".","1.8",".","",".",".","",".","",".",".",".","1.8","."
"Community Newswriting","130","001","","39","3.769","69.2","25.6","2.6",".",".","2.6",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","299","004","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Nonprofit Sector: Overview","300","001","","63","3.839","66.7","31.7",".",".",".",".",".","1.6","",".",".","",".","",".",".",".",".","."
"Evaluation and Planning","345","001","","37","3.770","73.0","13.5","10.8",".","2.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Fundraising & Development","430","001","","44","3.895","81.8","13.6",".","2.3",".",".",".",".","",".",".","",".","",".","2.3",".",".","."
"Special Topics","501","001","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Community Based Resrch & Eval","570","001","","17","3.441","52.9","23.5","5.9","5.9","5.9","5.9",".",".","",".",".","",".","",".",".",".",".","."
"Community Issues and Action","600","001","","20","3.950","95.0",".","5.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Internship","601","001","","12","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","004","","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","016","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","038","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","059","","5","3.944","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","061","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","064","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","118","","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","","Course Total","","29","3.988","96.6","3.4",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Nonprfit Brd Leadrship Devo II","743","001","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Civic Development","785","001","","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Transformative Evaluation","813","001","","18","3.971","88.9","5.6",".",".",".",".",".",".","",".",".","",".","",".","5.6",".",".","."
"","990","005","","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","016","","5","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","038","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","056","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","058","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","061","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","065","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Research and Thesis","","Course Total","","17","",".",".",".",".",".",".",".","64.7","",".",".","",".","35.3","",".",".",".","."
"","999","005","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","999","016","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","999","038","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","","Course Total","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
