"CIVIL AND ENVIRONMENTAL EN Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"821
001
Envir Engr:Biologic Treatmt","","5","3.900","","80.0","","20.0","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"823
003
Environmental Eng Design Proj","","15","3.800","","60.0","","40.0","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"890
002","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
005","","4","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
010","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
015","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
017","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
019","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
020","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
021","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
022","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
026","","3","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
028","","3","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
034","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
048","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
058","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
072","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
075","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
076","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Course Total
Pre-Dissertator's Research","","31","","",".","",".","",".",".","",".","",".","",".","64.5","",".",".","",".","35.5","",".",".",".","."
"909
001
Env Chem & Tech Grad Seminar","","18","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"911
001
Limnology & Marine Sci Seminar","","2","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"919
001
Hydraulic Engr & Fluid Mech","","18","3.864","","44.4","","16.7","",".",".","",".","",".","",".","38.9","",".",".","",".",".","",".",".",".","."
"929
001","","20","3.900","","90.0","",".","","10.0",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"929
003","","8","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Course Total
Seminar-Envir Engineering","","28","3.929","","92.9","",".","","7.1",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"939
001
Smr-Geotechnical Engr","","3","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"949
001
Smr-Structural Engineering","","8","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"990
002","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
005","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
010","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
014","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
019","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
020","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
025","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
033","","2","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
048","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
052","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
058","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
061","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
064","","2","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
067","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
074","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
