"ELECTRICAL AND COMPUTER E Section","#","","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"723
001
On-Line Control-Power Sys","","10","3.850","","70.0","","30.0","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"724
001
Waves&Instabilities-Plasmas","","3","3.750","","33.3","","33.3","",".","",".","",".","",".","",".","33.3","",".",".","",".",".","",".",".",".","."
"729
001
Thry-Info Proc&Transmission","","13","3.708","","61.5","","7.7","","23.1","",".","",".","",".","",".","7.7","",".",".","",".",".","",".",".",".","."
"734
001
VLSI Array-Dig Signal Proc","","8","3.625","","50.0","","25.0","","25.0","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"738
001
Adv Digital Image Processng","","21","4.000","","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"742
001
Computatnl Meth-Electromagntcs","","18","3.917","","94.4","",".","",".","","5.6","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"744
001
Microwave Circuits&Devices","","11","3.389","","36.4","","9.1","","27.3","",".","","9.1","",".","",".","18.2","",".",".","",".",".","",".",".",".","."
"746
001
Quantum Electronics","","7","3.786","","71.4","","14.3","","14.3","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"752
001
Adv Computer Architecture I","","13","3.423","","23.1","","38.5","","38.5","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"755
001
VLSI Systems Design","","29","3.586","","37.9","","41.4","","20.7","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"761
001
Mathematical Machine Learning","","18","3.676","","44.4","","38.9","","11.1","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","5.6","."
"790
004","","3","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
009","","4","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
012","","3","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
013","","2","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
017","","3","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
025","","1","","",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"790
028","","2","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
029","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
032","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
045","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
046","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
051","","2","","",".","",".","",".","",".","",".","",".","",".","50.0","",".",".","",".","50.0","",".",".",".","."
"790
052","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
053","","4","","",".","",".","",".","",".","",".","",".","",".","75.0","",".",".","",".","25.0","",".",".",".","."
"790
054","","3","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
058","","3","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
060","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
061","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
063","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
066","","5","","",".","",".","",".","",".","",".","",".","",".","40.0","",".",".","",".","60.0","",".",".",".","."
"790
071","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
076","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
079","","2","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
093","","4","","",".","",".","",".","",".","",".","",".","",".","25.0","",".",".","",".","75.0","",".",".",".","."
"790
096","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
102","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
103","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
104","","2","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
107","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
108","","1","","",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"790
111","","1","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"790
114","","3","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 127 of 454",""
