"AIR FORCE AEROSPACE STUDIE Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
001","5","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"102
002","10","3.850","80.0","10.0","10.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Course Total
Heritage and Values II","15","3.900","86.7","6.7","6.7","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"202
001","3","3.833","66.7","33.3",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"202
002","8","3.875","75.0","25.0",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Course Total
Team, Leadrshp Fundamentals II","11","3.864","72.7","27.3",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"302
001
Leadng People, Effctve Comm II","17","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"402
001
Leadrshp & Commissioning Prep","14","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"502
001
Leadership Laboratory II","57","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"A F AERO
Dept. Total
102","114","3.975","45.6","3.5","0.9","",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","12","4.000","50.0",".",".","",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Sophomore","12","3.750","33.3","8.3","8.3","",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Junior","19","4.000","47.4",".",".","",".","",".","",".","",".","52.6","",".",".","",".","",".","",".",".",".","."
"Senior","61","3.988","45.9","3.3",".","",".","",".","",".","",".","50.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","104","3.977","45.2","2.9","1.0","",".","",".","",".","",".","51.0","",".",".","",".","",".","",".",".",".","."
"Special","7","3.917","42.9","14.3",".","",".","",".","",".","",".","42.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","114","3.975","45.6","3.5","0.9","",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
