"JOURN AND MASS COMMUNICA Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697
017","","13","","",".","",".","",".",".","",".","",".","",".",".",".","100.0","",".",".","",".",".",".","."
"697
076","","1","","",".","",".","",".",".","",".","",".","",".",".",".","100.0","",".",".","",".",".",".","."
"697
093","","1","","",".","",".","",".",".","",".","",".","",".",".",".","100.0","",".",".","",".",".",".","."
"697
099","","1","","",".","",".","",".",".","",".","",".","",".",".",".","100.0","",".",".","",".",".",".","."
"Course Total
Internship","","24","","",".","",".","",".",".","",".","",".","",".",".",".","100.0","",".",".","",".",".",".","."
"699
005","","3","3.938","","66.7","","33.3","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"699
006","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"699
008","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"699
009","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"699
015","","4","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"699
017","","4","3.750","","50.0","","50.0","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"699
050","","1","3.500","",".","100.0","","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"699
051","","3","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Course Total
Directed Study","","18","3.905","","77.8","","22.2","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"801
001
Mass Communicatn&Individual","","8","3.938","","87.5","","12.5","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"808
001
Mass Communication History","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"813
001
Practicum - Comm Research","","6","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"821
001
Health Communication","","5","4.000","","80.0","",".","",".",".","",".","",".","",".","20.0",".",".","",".",".","",".",".",".","."
"880
052","","5","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"880
053","","16","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Course Total
Topics in Mass Communication","","21","4.000","100.0","","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"902
001
Graduate Teaching Colloquium","","6","","",".","",".","",".",".","",".","",".","",".",".",".","100.0","",".",".","",".",".",".","."
"903
001
Pro-Track Master's Colloquium","","9","","",".","",".","",".",".","",".","",".","",".",".",".","100.0","",".",".","",".",".",".","."
"990
003","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
004","","1","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
005","","10","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
008","","6","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
009","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
011","","3","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
012","","7","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
016","","3","","",".","",".","",".",".","",".","",".","",".","66.7","33.3",".","",".",".","",".",".",".","."
"990
018","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
093","","4","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"Course Total
Thesis","","41","","",".","",".","",".",".","",".","",".","",".","80.5","2.4",".","",".","17.1","",".",".",".","."
"999
013","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"999
093","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Course Total
Independent Research Prob","","2","4.000","100.0","","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
