"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"682
NTP","","","","","","","","","","","","","","","","","","","","","","","",""
"NTP
Dept. Total
682","183","3.828","32.2","1.1","2.2","1.1","",".","",".","",".","60.7","",".",".","",".","",".","0.5",".","2.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"682
NTP","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","28","3.886","89.3","3.6",".","3.6","",".","",".","",".",".","",".",".","",".","",".","3.6",".",".","."
"Undergraduates","30","3.896","90.0","3.3",".","3.3","",".","",".","",".",".","",".",".","",".","",".","3.3",".",".","."
"Graduate","147","3.774","20.4","0.7","2.7","0.7","",".","",".","",".","72.8","",".",".","",".","",".",".",".","2.7","."
"Prof Yr 1","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","5","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","6","4.000","33.3",".",".",".","",".","",".","",".","66.7","",".",".","",".","",".",".",".",".","."
"Dept. Total","183","3.828","32.2","1.1","2.2","1.1","",".","",".","",".","60.7","",".",".","",".","",".","0.5",".","2.2","."
