"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","5","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","7","3.071","42.9","28.6",".","14.3",".","",".","14.3",".","",".",".","",".","",".",".",".",".","."
"Senior","12","3.625","58.3","16.7","16.7","8.3",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","25","3.540","60.0","20.0","8.0","8.0",".","",".","4.0",".","",".",".","",".","",".",".",".",".","."
"Graduate","40","4.000","75.0",".",".",".",".","",".",".","25.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","131","3.651","45.0","41.2","9.2","3.1",".","",".",".",".","",".",".","",".","",".","1.5",".",".","."
"Prof Yr 2","99","3.791","67.7","24.2","7.1","1.0",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","250","3.669","57.6","25.2","12.0","4.4","0.8","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","483","3.685","56.1","29.4","10.1","3.3","0.4","",".",".","0.2","",".",".","",".","",".","0.4",".",".","."
