"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","37","3.721","75.7","2.7","8.1",".","2.7",".","2.7","","8.1","",".",".","",".","",".","",".",".",".","."
"Intro-Mus Cult of the World","103
001","155","3.881","89.7","1.9","2.6","0.6","1.3","0.6","0.6","","1.9","",".",".","",".","",".","",".",".",".","0.6"
"The Symphony","106
001","31","2.860","9.7","22.6","25.8","6.5","6.5","6.5","3.2","","16.1","",".",".","",".","",".","",".","3.2",".","."
"","113
001","676","3.945","96.0",".","3.1",".","0.6",".","0.3","",".","",".",".","",".","",".","",".",".",".","."
"","113
002","684","3.830","89.3","3.4","2.0","1.5","1.6","0.9","1.3","",".","",".",".","",".","",".","",".",".",".","."
"","113
003","683","3.925","94.3","2.5","1.2","0.7","0.4","0.4","0.4","",".","",".",".","",".","",".","",".",".",".","."
"Music in Performance","Course Total","2043","3.900","93.2","2.0","2.1","0.7","0.9","0.4","0.7","",".","",".",".","",".","",".","",".",".",".","."
"","122
001","14","3.393","21.4","42.9","28.6","7.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","122
002","14","3.429","42.9","7.1","42.9","7.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Musica Practica 2","Course Total","28","3.411","32.1","25.0","35.7","7.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","151
001","38","3.684","65.8","18.4","10.5","2.6",".","2.6",".","",".","",".",".","",".","",".","",".",".",".","."
"","151
002","60","3.560","41.7","23.3","8.3","6.7","3.3",".",".","",".","",".",".","",".","",".","",".",".","16.7","."
"Basic Concepts-Music Theory","Course Total","98","3.614","51.0","21.4","9.2","5.1","2.0","1.0",".","",".","",".",".","",".","",".","",".",".","10.2","."
"","172
101","7","3.643","57.1","14.3","28.6",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","172
102","7","3.857","71.4","28.6",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","172
103","6","3.417","33.3","16.7","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","172
104","8","3.563","37.5","50.0",".","12.5",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","28","3.625","50.0","28.6","17.9","3.6",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Survey-Hist Western Music","212
001","37","3.203","54.1","2.7","21.6",".","8.1","13.5",".","",".","",".",".","",".","",".","",".",".",".","."
"Musica Practica 4","222
001","16","3.563","56.3","25.0","6.3",".","12.5",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Jazz Theory & Composition","229
001","5","3.000","60.0",".",".",".",".",".","20.0","","20.0","",".",".","",".","",".","",".",".",".","."
"Bascom Course","236
001","4","4.000","25.0",".",".",".",".",".",".","","50.0","",".",".","",".","",".","","25.0",".",".","."
"Intro. Conducting and Pedagogy","252
001","7","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","254
022","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","254
028","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Conducting","Course Total","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"University Opera","256
001","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Opera Workshop","257
001","5","3.900","80.0","20.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","260
001","13","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","260
002","14","3.929","92.9",".","7.1",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Global Hand Drumming","Course Total","27","3.963","96.3",".","3.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","262
064","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","262
066","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","262
096","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","262
101","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","262
196","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Jazz Ensemble","Course Total","30","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","265
019","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","265
032","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","265
049","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Ensemble-Woodwind","Course Total","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","267
020","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 287 of 454",""
