"LAW","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Equal Employment Law","765
001","16
1.875","18.8","",".","","37.5",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Consumer Health Advocacy","768
001","9",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","771
001","99
0.774","8.1","",".","","10.1",".","","1.0","","1.0","",".","15.2","",".",".","",".","",".","",".",".",".","."
"","771
002","27
1.000","7.4","",".","","22.2",".","",".","",".","",".","3.7","",".",".","",".","",".","",".",".",".","."
"","771
003","22
0.773","4.5","",".","","13.6",".","","9.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Select Topics-Estate Planning","Course Total","148
0.801","7.4","",".","12.8","",".","","2.0","","0.7","",".","10.8","",".",".","",".","",".","",".",".",".","."
"Use of Trusts-Estate Planning","772
001","17
1.188","11.8","",".","","17.6",".","","5.9","",".","",".","5.9","",".",".","",".","",".","",".",".",".","."
"Evidence","801
001","65
1.633","13.8","",".","","21.5",".","","1.5","",".","",".","24.6","",".",".","",".","",".","",".",".",".","."
"Civil Procedure II","802
001","73
0.800","9.6","",".","","11.0",".","","2.7","",".","",".","4.1","",".",".","",".","",".","",".",".",".","."
"Advanced Legal Writing","808
001","16
1.000","6.3","",".","","25.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","815
001","20",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","815
002","10",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","815
003","10",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","815
007","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","815
008","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Appellate Advocacy II","Course Total","42",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Business Organizations I","001
817","76
1.806","15.8","",".","","35.5",".","",".","","1.3","",".","5.3","",".",".","",".","",".","",".",".",".","."
"Bankruptcy Law","821
001","12
1.600","8.3","",".","","33.3",".","",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"Federal Jurisdiction","824
001","64
1.800","20.3","",".","","23.4",".","","1.6","",".","",".","14.1","",".",".","",".","",".","",".",".",".","."
"Insurance Law","825
001","15
0.714",".","",".","","13.3",".","","13.3","",".","",".","6.7","",".",".","",".","",".","",".",".",".","."
"International Law","827
001","43
1.372","11.6","",".","","30.2",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Land Use Controls","830
001","14
1.143","14.3","",".","","14.3",".","","7.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Real Estate Transactions II","838
001","14
2.000","21.4","",".","","28.6",".","","7.1","",".","",".","7.1","",".",".","",".","",".","",".",".",".","."
"Taxation II","840
001","21
1.278","14.3","",".","","14.3",".","","4.8","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Water Rights Law","845
001","10
0.667",".","",".","","20.0",".","",".","",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"","849
001","14",".","",".","",".",".","",".","",".","",".","78.6","",".",".","",".","",".","",".",".",".","21.4"
"","849
002","16",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","849
003","14",".","",".","",".",".","",".","",".","",".","85.7","",".",".","",".","",".","",".",".",".","14.3"
"Pre-Trial Advocacy","Course Total","44",".","",".","",".",".","",".","",".","",".","88.6","",".",".","",".","",".","",".",".",".","11.4"
"","850
001","57
0.554","3.5","",".","","12.3",".","","1.8","",".","",".","1.8","",".",".","",".","",".","",".",".",".","."
"","850
002","24
1.409","12.5","",".","","20.8",".","","8.3","",".","",".","8.3","",".",".","",".","",".","",".",".",".","."
"","850
003","14
1.429","21.4","",".","","14.3",".","","7.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professnl Responsibilities","Course Total","95
0.863","8.4","",".","14.7","",".","","4.2","",".","",".","3.2","",".",".","",".","",".","",".",".",".","."
"","852
001","17",".","",".","",".",".","",".","",".","",".","82.4","",".",".","",".","",".","",".",".",".","17.6"
"","852
003","14",".","",".","",".",".","",".","",".","",".","92.9","",".",".","",".","",".","",".",".",".","7.1"
"","852
004","18",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","852
005","16",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","852
006","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","852
007","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Trial Advocacy","Course Total","72",".","",".","",".",".","",".","",".","",".","94.4","",".",".","",".","",".","",".",".",".","5.6"
"","854
101","5",".","",".","",".",".","",".","",".","",".","80.0","",".",".","",".","",".","",".",".",".","20.0"
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","Page 352 of 454",""
