"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","","",""
"","502
001","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","502
002","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Wkshp-Ed Leadrshp & Plcy Anlys","Course Total","","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Law and Public Education","542
001","","12","3.917","91.7",".","8.3",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Field Experience-Ed Ldrship","700
002","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Qualitative Research","719
001","","8","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Ldrship for Equity & Diversity","735
001","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Coaching Athletics 2: Bell Cow","755
001","","28","4.000","85.7",".",".",".",".","",".",".","3.6","",".",".","",".","",".","10.7",".",".","."
"","777
001","","14","3.885","78.6","7.1","7.1",".",".","",".",".","7.1","",".",".","",".","",".",".",".",".","."
"","777
002","","18","3.906","72.2","16.7",".",".",".","",".",".",".","",".",".","",".","",".","11.1",".",".","."
"HPE Capstone Seminar","Course Total","","32","3.897","75.0","12.5","3.1",".",".","",".",".","3.1","",".",".","",".","",".","6.3",".",".","."
"","788
001","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","788
002","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","Course Total","","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Data Mgmt for Ed Pol Analysis","823
001","","6","4.000","83.3",".",".",".",".","",".",".","16.7","",".",".","",".","",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","","28","3.982","96.4","3.6",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","","6","3.333","83.3",".",".",".",".","",".","16.7",".","",".",".","",".","",".",".",".",".","."
"Surveys/Quant Data Collection","827
001","","5","3.800","80.0",".","20.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Financng Postsecondry Educ","831
001","","13","3.962","92.3","7.7",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Leadershp-Inclusive Schling","835
001","","6","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","840
001","","25","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","840
002","","14","4.000","92.9",".",".",".",".","",".",".",".","",".",".","",".","",".","7.1",".",".","."
"Public School Law","Course Total","","39","4.000","97.4",".",".",".",".","",".",".",".","",".",".","",".","",".","2.6",".",".","."
"Legal Aspects of Higher Ed","841
001","","10","4.000","90.0",".",".",".",".","",".",".",".","",".",".","",".","",".","10.0",".",".","."
"Technology Leadership","844
001","","18","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Race Class & Ed Inequality","863
001","","16","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"The Politics of Education","870
001","","25","3.896","76.0","20.0",".",".",".","",".",".",".","",".",".","",".","",".","4.0",".",".","."
"Acadmc Prgrms-Col&Universty","880
001","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881
001","","12","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","883
001","","16","3.867","75.0","12.5","6.3",".",".","",".",".",".","",".",".","",".","",".","6.3",".",".","."
"","883
002","","19","3.526","52.6","31.6","10.5",".",".","",".","5.3",".","",".",".","",".","",".",".",".",".","."
"College Identity & Development","Course Total","","35","3.676","62.9","22.9","8.6",".",".","",".","2.9",".","",".",".","",".","",".","2.9",".",".","."
"Leader Stud Abrd Intl Stdt Svc","885
001","","14","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Assessment in Higher Education","888
001","","21","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","900
001","","16","3.862","81.3",".",".",".","6.3","",".",".",".","",".",".","",".","",".","12.5",".",".","."
"","900
002","","14","3.938","50.0","7.1",".",".",".","",".",".",".","",".",".","",".","",".","42.9",".",".","."
"Internship in Ed Admin","Course Total","","30","3.889","66.7","3.3",".",".","3.3","",".",".",".","",".",".","",".","",".","26.7",".",".","."
"","940
001","","20","4.000","95.0",".",".",".",".","",".",".",".","",".",".","",".","",".","5.0",".",".","."
"","940
002","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","940
003","","16","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 92 of 454",""
