"MEDICAL MICROBIOL & IMMUNO Section","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immunology","341
001","","173","3.491","63.0","9.2","","9.8","5.8","","6.4","","4.0","","0.6",".","",".",".","",".","",".","","1.2",".",".","."
"Parasitology","350
001","","29","3.759","69.0","13.8","","17.2",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Biology of Viruses","575
001","","8","3.313","37.5","12.5","","25.0","25.0","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
002","","2","3.750","50.0","50.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
003","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
004","","3","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
005","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
010","","4","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
025","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
035","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
037","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
039","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
042","","3","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Directed Study","Course Total","","23","3.975","95.7","4.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","901
001","","14","4.000","92.9",".","",".",".","",".","",".","",".","7.1","",".",".","",".","",".","",".",".",".","."
"","901
002","","4","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Seminar","Course Total","","18","4.000","94.4",".","",".",".","",".","",".","",".","5.6","",".",".","",".","",".","",".",".",".","."
"Microbiome in Health & Disease","902
009","","3","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Public Health Microbiology","911
004","","2","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
004","","2","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
005","","1","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
006","","3","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
012","","2","",".",".","",".",".","",".","",".","",".","50.0","",".",".","",".","50.0","","",".",".",".","."
"","990
020","","4","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
023","","4","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
025","","5","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
026","","4","",".",".","",".",".","",".","",".","",".","25.0","",".",".","",".","75.0","","",".",".",".","."
"","990
027","","2","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
030","","2","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
035","","6","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
041","","3","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
042","","2","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","100.0","."
"Research and Thesis","Course Total","","40","",".",".","",".",".","",".","",".","",".","7.5","",".",".","",".","87.5","","",".",".","5.0","."
