"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","","",""
"Religion & Sexuality","103
001","96","3.074","17.7","33.3","27.1","12.5","1.0","2.1","5.2",".","",".",".","",".","",".","1.0",".",".","."
"Islam Wrld:MidEast,500-1500","205
002","5","3.375","20.0","20.0","40.0",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"West Intell & Rel Hist to 1500","208
001","6","3.167","16.7","33.3","16.7","33.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Biblical Lit","227
001","17","2.844","17.6","35.3","11.8","5.9","5.9","11.8","5.9","5.9","",".",".","",".","",".",".",".",".","."
"Asia Enchanted","236
001","19","3.763","84.2",".","5.3","5.3","5.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Dante's Divine Comedy","253
001","18","3.417","61.1","11.1","11.1","5.6","5.6",".","5.6",".","",".",".","",".","",".",".",".",".","."
"Hinduism","306
001","24","3.563","45.8","37.5","12.5",".",".","4.2",".",".","",".",".","",".","",".",".",".",".","."
"Crusades: Christianity & Islam","309
001","5","3.500","40.0",".","40.0",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"The Sabbath","322
001","11","3.591","54.5","18.2","18.2","9.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"American Jewish Life of DNA","340
001","7","3.500","14.3","14.3","14.3",".",".",".",".","57.1","",".",".","",".","",".",".",".",".","."
"Lit: Pauline Christianity","361
001","32","3.887","84.4","6.3","3.1","3.1",".",".",".","3.1","",".",".","",".","",".",".",".",".","."
"","400
001","13","3.890","84.6","7.7","7.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","400
002","17","3.613","70.6","11.8","5.9",".","11.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Relig St-Humanities","Course Total","30","3.734","76.7","10.0","6.7",".","6.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Relig St-Soc Studies","401
001","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Capstone Res & Colloq","601
001","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","682
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","699
003","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"RELIG ST
856","Dept. Total","292","3.414","46.2","21.9","15.8","6.8","2.1","1.7","2.4","2.1","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","27","2.870","18.5","14.8","37.0","18.5",".","3.7","7.4",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","76","3.303","34.2","30.3","17.1","7.9","5.3","2.6","1.3",".","",".",".","",".","",".","1.3",".",".","."
"Junior","","62","3.575","50.0","22.6","19.4","8.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","117","3.504","59.8","18.8","9.4","3.4","1.7","1.7","3.4",".","",".",".","",".","",".","1.7",".",".","."
"Undergraduates","","282","3.407","46.8","22.3","16.3","7.1","2.1","1.8","2.5",".","",".",".","",".","",".","1.1",".",".","."
"Special","","7","3.750","14.3","14.3",".",".",".",".",".","71.4","",".",".","",".","",".",".",".",".","."
"Graduate","","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","292","3.414","46.2","21.9","15.8","6.8","2.1","1.7","2.4","2.1","",".",".","",".","",".","1.0",".",".","."
