"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","","","",""
"History at Work","300","001","28","3.663","75.0","3.6","7.1","3.6","3.6","3.6",".",".","",".",".","",".","",".","3.6",".",".","."
"History Internship Seminar","301","001","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"A History of Rome","307","001","68","3.017","14.7","30.9","22.1","7.4","1.5","2.9","5.9","13.2","",".",".","",".","",".",".",".","1.5","."
"Crusades: Christianity & Islam","309","001","49","3.317","44.9","12.2","10.2",".","12.2",".","4.1","4.1","",".",".","",".","",".",".",".","12.2","."
"The Holocaust","310","001","45","3.635","37.8","35.6","4.4","2.2","2.2",".",".","17.8","",".",".","",".","",".",".",".",".","."
"Afro-Am Hist Since 1900","321","001","8","3.500","25.0","50.0","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Environmental History: Europe","328","001","11","2.563","18.2","9.1","27.3",".",".",".","18.2","27.3","",".",".","",".","",".",".",".",".","."
"East Asia & The US Since 1899","332","001","31","3.577","29.0","45.2","3.2","6.5",".",".",".","9.7","",".",".","",".","",".",".","3.2",".","3.2"
"Hist-China 589 AD-1919","337","001","16","3.750","56.3","12.5",".",".","6.3",".",".","18.8","",".",".","",".","",".",".","6.3",".","."
"Cultural History of Korea","340","001","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"First World War","350","001","135","3.340","12.6","13.3","3.7","1.5","1.5","1.5","0.7","65.2","",".",".","",".","",".",".",".",".","."
"History-Europe Since 1945","359","001","37","3.500","35.1","10.8","18.9","8.1",".",".",".","24.3","",".",".","",".","",".","2.7",".",".","."
"China and World War II in Asia","363","001","26","3.700","46.2","15.4","15.4",".",".",".",".","15.4","",".",".","",".","",".","7.7",".",".","."
"Islam and Politics","370","001","5","3.900","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"The Cold War","375","001","78","3.840","55.1","5.1","6.4","1.3",".",".",".","29.5","",".",".","",".","",".","1.3",".",".","1.3"
"Women Modern Europe","392","001","19","3.556","68.4",".","15.8",".","5.3","5.3",".",".","",".",".","",".","",".",".",".","5.3","."
"Slavery,Civil War&Recon1848-77","393","001","41","3.667","58.5","14.6","7.3",".","7.3",".",".","9.8","",".",".","",".","",".","2.4",".",".","."
"","401","001","5","3.750","60.0",".","20.0",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"","401","002","12","3.955","83.3","8.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","8.3"
"Public History Workshop","","Course Total","17","3.900","76.5","5.9","5.9",".",".",".",".",".","",".",".","",".","",".","5.9",".",".","5.9"
"History-American Education","412","001","30","3.517","56.7","20.0","10.0","10.0",".",".","3.3",".","",".",".","",".","",".",".",".",".","."
"Russian Social&Intel Hist","420","001","22","3.778","27.3","9.1","4.5",".",".",".",".","54.5","",".",".","",".","",".","4.5",".",".","."
"US Military History Since 1899","428","001","45","3.780","66.7","17.8","4.4",".",".","2.2",".",".","",".",".","",".","",".",".",".","8.9","."
"History-Scand Since 1815","432","001","14","3.929","85.7","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Making of Modern South Asia","450","001","25","3.880","88.0","8.0",".",".","4.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Rule of Law:Philos&Hist Models","459","001","21","3.658","42.9","33.3","14.3",".",".",".",".","9.5","",".",".","",".","",".",".",".",".","."
"American Economy Since 1865","466","001","8","3.375","37.5",".","62.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"History of Forensic Science","477","001","5","3.600","40.0","40.0","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"American Indian History","490","002","19","3.542","26.3","21.1","10.5","5.3",".",".",".",".","",".",".","",".","",".",".",".","36.8","."
"","500","001","5","3.700","40.0","60.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","500","002","12","3.750","66.7","16.7","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","500","003","9","3.667","44.4","44.4","11.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Reading Seminar in History","","Course Total","26","3.712","53.8","34.6","11.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Legal Pluralism","510","001","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","600","001","15","3.679","53.3","20.0","20.0",".",".",".",".",".","",".",".","",".","",".","6.7",".",".","."
"","600","002","8","3.688","37.5","62.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","600","003","5","3.700","60.0","20.0","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","600","004","15","3.933","86.7","13.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","600","005","21","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 248 of 454",""
