"GEOSCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","","",""
"","990
006","3","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
007","5","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
008","3","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
015","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
018","6","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
019","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
020","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
021","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
025","3","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
026","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
031","3","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
032","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
035","3","",".",".",".",".",".",".",".","33.3","",".",".","",".","66.7",".",".",".","."
"","990
036","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
043","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
044","3","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
048","4","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
051","3","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Research","Course Total","47","",".",".",".",".",".",".",".","63.8","",".",".","",".","36.2",".",".",".","."
"GEOSCI
420","Dept. Total","1367","3.439","46.4","22.2","12.0","5.5","5.2","1.6","1.0","3.4","",".",".","",".","1.2","0.4",".","1.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","222","3.420","45.0","27.0","13.5","5.0","6.3","1.4","1.4",".","",".",".","",".",".",".",".",".","0.5"
"Sophomore","","417","3.511","55.4","21.8","10.8","5.5","2.6","2.4","1.4",".","",".",".","",".",".",".",".",".","."
"Junior","","313","3.331","43.1","22.4","15.0","7.0","9.3","1.9","0.6",".","",".",".","",".",".","0.6",".",".","."
"Senior","","277","3.380","45.8","24.5","14.1","6.9","6.1","0.7","0.7","0.7","",".",".","",".",".","0.4",".",".","."
"Undergraduates","","1229","3.424","48.3","23.5","13.1","6.1","5.8","1.7","1.1","0.2","",".",".","",".",".","0.2",".",".","0.1"
"Special","","34","3.250","2.9","5.9","2.9",".",".","2.9",".","41.2","",".",".","",".",".",".",".","44.1","."
"Graduate","","104","3.827","38.5","12.5","1.9",".",".",".",".","28.8","",".",".","",".","16.3","1.9",".",".","."
"","Dept. Total","1367","3.439","46.4","22.2","12.0","5.5","5.2","1.6","1.0","3.4","",".",".","",".","1.2","0.4",".","1.1","0.1"
