"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Envir, Nat Resources & Society","248
001","","12","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","299
002","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","299
052","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","299
054","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","","3","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Forest Operations","305
001","","8","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Terr Vertbrt:Life Hist&Ecol","306
001","","69","2.971","27.5","11.6","23.2","17.4","","13.0","7.2",".",".","",".",".","",".","",".","",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","","29","3.310","20.7","41.4","27.6",".","","10.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"","375
002","","11","3.900","72.7","18.2",".",".","",".",".",".","9.1","",".",".","",".","",".","",".",".",".","."
"","375
006","","10","3.450","70.0","10.0","10.0",".","",".",".","10.0",".","",".",".","",".","",".","",".",".",".","."
"","375
007","","7","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","375
010","","10","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","375
011","","5","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","375
018","","5","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","375
019","","7","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special Topics","Course Total","","55","3.899","89.1","5.5","1.8",".","",".",".","1.8","1.8","",".",".","",".","",".","",".",".",".","."
"Princ-Wildlife Management","379
001","","66","3.492","51.5","13.6","25.8",".","","9.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"Principles of Silviculture","410
001","","19","2.947","15.8","31.6","21.1","10.5","","10.5","10.5",".",".","",".",".","",".","",".","",".",".",".","."
"Practices of Silviculture","411
001","","7","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"General Ecology","460
001","","11","2.909","27.3",".","45.5",".","","18.2","9.1",".",".","",".",".","",".","",".","",".",".",".","."
"Ornithology","520
001","","15","3.200","20.0","26.7","33.3","13.3","","6.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"","521
001","","10","3.500","50.0","40.0",".",".","",".","10.0",".",".","",".",".","",".","",".","",".",".",".","."
"","521
002","","7","3.786","71.4","14.3","14.3",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","521
003","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","18","3.639","61.1","27.8","5.6",".","",".","5.6",".",".","",".",".","",".","",".","",".",".",".","."
"Stat Meth for Bioscience II","572
001","","7","3.571","57.1","14.3","14.3","14.3","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Animal Population Dynamics","655
001","","33","3.121","15.2","27.3","39.4","9.1","","6.1","3.0",".",".","",".",".","",".","",".","",".",".",".","."
"Historical Ecology","672
001","","6","4.000","83.3",".",".",".","",".",".",".",".","",".",".","",".","",".","","16.7",".",".","."
"Prof Develop-Forest/Wildlife","675
001","","9","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior Thesis","692
052","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
006","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
032","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
037","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
044","","2","4.000","50.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","50.0"
"","699
052","","5","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
055","","2","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special Problems","Course Total","","12","4.000","91.7",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","8.3"
"Special Topics","875
001","","11","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Advanced Landscape Ecology","879
001","","10","3.950","90.0","10.0",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","990
002","","2","",".",".",".",".","",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
003","","2","",".",".",".",".","",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","Page 23 of 454"
