"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","","",""
"Numerical Linear Algebra","513
001","31","3.296","35.5","12.9","25.8",".","9.7","3.2",".","3.2","",".",".","",".","",".","9.7",".",".","."
"Ordinary Differentl Equations","519
001","16","3.125","56.3",".","12.5","12.5","6.3","6.3","6.3",".","",".",".","",".","",".",".",".",".","."
"","521
001","32","3.281","21.9","37.5","34.4",".",".","6.3",".",".","",".",".","",".","",".",".",".",".","."
"","521
002","29","3.259","34.5","24.1","27.6",".","6.9","6.9",".",".","",".",".","",".","",".",".",".",".","."
"","521
003","20","2.825","35.0","10.0","15.0","5.0","20.0","10.0","5.0",".","",".",".","",".","",".",".",".",".","."
"","521
004","21","2.929","9.5","14.3","47.6","9.5","19.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Analysis I","Course Total","102","3.113","25.5","23.5","31.4","2.9","9.8","5.9","1.0",".","",".",".","",".","",".",".",".",".","."
"Analysis II","522
001","23","3.409","39.1","21.7","17.4","13.0","4.3",".",".","4.3","",".",".","",".","",".",".",".",".","."
"Linear Optimization","525
001","21","3.095","33.3","9.5","14.3","28.6","14.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Probability Theory","531
001","40","2.975","27.5","17.5","20.0","17.5","7.5","7.5","2.5",".","",".",".","",".","",".",".",".",".","."
"","535
001","33","3.281","42.4","6.1","33.3","6.1","3.0","6.1",".",".","",".",".","",".","",".",".",".",".","3.0"
"","535
002","33","3.515","57.6","9.1","24.2","3.0","3.0","3.0",".",".","",".",".","",".","",".",".",".",".","."
"Math Methods in Data Science","Course Total","66","3.400","50.0","7.6","28.8","4.5","3.0","4.5",".",".","",".",".","",".","",".",".",".",".","1.5"
"Linear Algebra II","540
001","20","3.500","40.0","30.0","25.0",".","5.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","541
001","41","3.438","53.7","4.9","24.4","7.3","4.9","2.4",".","2.4","",".",".","",".","",".",".",".",".","."
"","541
002","33","3.339","42.4","12.1","3.0","15.2","12.1",".",".",".","",".",".","",".","",".","15.2",".",".","."
"Modern Algebra","Course Total","74","3.397","48.6","8.1","14.9","10.8","8.1","1.4",".","1.4","",".",".","",".","",".","6.8",".",".","."
"Modern Algebra","542
001","18","3.556","44.4","33.3","11.1","11.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Elementary Topology","551
001","25","3.160","20.0","28.0","28.0","20.0",".","4.0",".",".","",".",".","",".","",".",".",".",".","."
"Elem Geom & Alg Topology","552
001","17","3.853","82.4","11.8",".","5.9",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Differential Geometry","561
001","14","3.750","50.0","28.6","7.1",".",".",".",".","7.1","",".",".","",".","",".",".",".",".","7.1"
"Modern Number Theory","567
001","11","3.722","54.5","9.1","18.2",".",".",".",".","9.1","",".",".","",".","",".","9.1",".",".","."
"Math Mthds for Systems Biology","609
001","18","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Analysis of PDE","619
001","17","3.588","52.9","23.5","17.6",".","5.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Measure & Integration","629
001","23","3.364","47.8","4.3","26.1","4.3","13.0",".",".",".","",".",".","",".","",".",".",".",".","4.3"
"","632
002","21","3.300","38.1","19.0","23.8",".","9.5","4.8",".",".","",".",".","",".","",".",".",".",".","4.8"
"","632
003","29","3.448","51.7","20.7","6.9","6.9","13.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","50","3.388","46.0","20.0","14.0","4.0","12.0","2.0",".",".","",".",".","",".","",".",".",".",".","2.0"
"Intro-Brownian Motn&Stoch Calc","635
001","35","3.379","42.9","8.6","34.3",".","5.7","2.9",".","5.7","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","682
175","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","698
043","1","",".",".",".",".",".",".",".",".","",".",".","100.0","","",".",".",".",".","."
"","698
176","1","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"Directed Study","Course Total","2","",".",".",".",".",".",".",".",".","",".","50.0","50.0","","",".",".",".",".","."
"","699
011","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
063","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
153","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
187","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
191","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
193","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
