"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","41","3.659","51.2","31.7","14.6","2.4",".",".",".",".","",".",".","",".","",".",".",".",".","."
"19&20 C Russian Lit Tran II","204
001","23","3.565","82.6","4.3",".","4.3",".",".","8.7",".","",".",".","",".","",".",".",".",".","."
"Love and Sex in Italian Comedy","213
001","18","4.000","88.9",".",".",".",".",".",".",".","",".",".","",".","",".","5.6","5.6",".","."
"Gogol in Translation","221
001","26","3.720","46.2","46.2","3.8",".",".",".",".",".","",".",".","",".","",".",".","3.8",".","."
"Intro to Biblical Lit","227
001","6","1.667",".","16.7","16.7","16.7",".","16.7","33.3",".","",".",".","",".","",".",".",".",".","."
"","234
001","9","3.875","66.7","22.2",".",".",".",".",".",".","",".",".","",".","",".","11.1",".",".","."
"","234
002","15","3.867","73.3","26.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Soviet Life&Cult (1917 on)","Course Total","24","3.870","70.8","25.0",".",".",".",".",".",".","",".",".","",".","",".","4.2",".",".","."
"","247
002","22","3.952","86.4","9.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","4.5","."
"","004
247","43","3.558","51.2","25.6","16.3","2.3","2.3","2.3",".",".","",".",".","",".","",".",".",".",".","."
"","247
005","29","3.224","24.1","31.0","17.2","20.7","6.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics-Slavic Lit in Translatn","Course Total","94","3.543","51.1","23.4","12.8","7.4","3.2","1.1",".",".","",".",".","",".","",".",".",".","1.1","."
"Dante's Divine Comedy","253
001","52","3.319","42.3","15.4","11.5","7.7","11.5",".","1.9","9.6","",".",".","",".","",".",".",".",".","."
"Survey-Chinese Lit in Trans","262
001","31","3.583","48.4","29.0","9.7","6.5","3.2",".",".","3.2","",".",".","",".","",".",".",".",".","."
"Survey-Japanese Lit in Tran","264
001","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Elem Topics in Russ Lit & Cult","266
001","16","3.867","68.8","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".","6.3","."
"Scand Lit in Tran-20th C","274
001","17","3.533","23.5","47.1","17.6",".",".",".",".",".","",".",".","",".","",".","5.9",".",".","5.9"
"","275
001","62","3.820","64.5","32.3","1.6",".",".",".",".","1.6","",".",".","",".","",".",".",".",".","."
"","275
002","39","3.744","79.5","12.8",".","2.6",".","5.1",".",".","",".",".","",".","",".",".",".",".","."
"In Transl:Hans C. Andersen","Course Total","101","3.785","70.3","24.8","1.0","1.0",".","2.0",".","1.0","",".",".","",".","",".",".",".",".","."
"","276
001","53","3.821","81.1","9.4","7.5",".",".","1.9",".",".","",".",".","",".","",".",".",".",".","."
"","276
002","33","3.688","69.7","18.2","3.0",".","3.0",".","3.0",".","",".",".","",".","",".","3.0",".",".","."
"Spec Tops in Ger & World Lit/s","Course Total","86","3.771","76.7","12.8","5.8",".","1.2","1.2","1.2",".","",".",".","",".","",".","1.2",".",".","."
"","302
001","17","3.853","76.5","17.6","5.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","302
011","80","3.744","85.0","3.8","6.3",".","1.3",".","3.8",".","",".",".","",".","",".",".",".",".","."
"Biological Life in Lit&Culture","Course Total","97","3.768","83.5","6.2","6.2",".","1.0",".","3.1",".","",".",".","",".","",".",".",".",".","."
"Topics in Dutch Lit in Tran","326
001","48","3.906","95.8",".",".","2.1",".","2.1",".",".","",".",".","",".","",".",".",".",".","."
"Vampire in Literature and Film","329
001","187","3.565","52.4","27.3","10.2","4.8","3.2","0.5","1.1","0.5","",".",".","",".","",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"The Nordic Storyteller","345
001","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Kalevala&Finn Folklr-Transl","347
001","4","3.000","75.0",".",".",".",".",".","25.0",".","",".",".","",".","",".",".",".",".","."
"Sagas of Icelanders in Trans","435
001","6","3.000",".",".","66.7",".",".",".",".","33.3","",".",".","",".","",".",".",".",".","."
