"ART HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","","",""
"","799
050","1","",".",".",".",".",".",".",".",".","",".",".","",".",".","100.0",".",".","."
"Independent Study","Course Total","21","4.000","76.2",".",".",".",".",".",".","4.8","",".",".","",".",".","4.8",".","14.3","."
"","800
001","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","800
002","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","800
003","4","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".",".","50.0",".",".","."
"Smr:Spec Topics-Art History","Course Total","11","3.889","72.7",".","9.1",".",".",".",".",".","",".",".","",".",".","18.2",".",".","."
"Vis Cult: Topics in Vis Cult","802
001","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Smr-Ancient Art&Architectr","805
001","4","4.000","25.0",".",".",".",".",".",".","75.0","",".",".","",".",".",".",".",".","."
"Grad Smr-20th C Europn Art","856
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Smr-American Architecture","867
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","990
002","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
021","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
025","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
029","3","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
035","4","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
041","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
042","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
050","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Research and Thesis","Course Total","15","",".",".",".",".",".",".",".","80.0","",".",".","",".","20.0",".",".",".","."
"ART HIST
180","Dept. Total","691","3.576","57.9","11.9","8.2","2.5","2.9","1.6","1.3","7.4","",".",".","",".","0.4","1.3","2.2","2.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","88","3.406","65.9","10.2","9.1","1.1","6.8","3.4","3.4",".","",".",".","",".",".",".",".",".","."
"Sophomore","","137","3.643","71.5","9.5","10.9","0.7","3.6","1.5","0.7",".","",".",".","",".",".","1.5",".",".","."
"Junior","","124","3.512","58.9","16.9","10.5","6.5","4.0","3.2",".",".","",".",".","",".",".",".",".",".","."
"Senior","","195","3.552","61.5","17.9","10.3","3.6","2.1","1.0","2.6","1.0","",".",".","",".",".",".",".",".","."
"Undergraduates","","544","3.541","64.2","14.3","10.3","3.1","3.7","2.0","1.7","0.4","",".",".","",".",".","0.4",".",".","."
"Special","","67","4.000","4.5",".",".",".",".",".",".","53.7","",".",".","",".",".",".","20.9","20.9","."
"Graduate","","80","3.939","60.0","5.0","1.3",".",".",".",".","16.3","",".",".","",".","3.8","8.8","1.3","3.8","."
"","Dept. Total","691","3.576","57.9","11.9","8.2","2.5","2.9","1.6","1.3","7.4","",".",".","",".","0.4","1.3","2.2","2.5","."
