"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","407
001","","11","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","407
002","","3","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","407
003","","13","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","27","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Thermal Physics","415
001","","33","3.348","33.3","","24.2","21.2","21.2","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Atomic and Quantum Physics","449
001","","47","3.293","21.3","","23.4","51.1",".","",".","","2.1","",".","",".","",".",".","",".",".","2.1",".",".","."
"","499
015","","1","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","499
056","","1","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Directed Study","Course Total","","2","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Introduction to Plasmas","525
001","","14","3.214","28.6","","21.4","35.7","7.1","",".","","7.1","",".","",".","",".",".","",".",".",".",".",".","."
"Plasma Confinement&Heating","527
001","","2","2.750",".","","50.0",".",".","","50.0","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Intro to Quantum Mechanics","531
001","","27","3.352","25.9","","33.3","25.9","14.8","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Intro-Particle Physics","535
001","","12","3.875","83.3","","8.3","8.3",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Solid State Physics","551
001","","23","3.304","26.1","","34.8","34.8",".","",".","",".","","4.3","",".","",".",".","",".",".",".",".",".","."
"Electronic Aids to Measmnt","623
001","","17","3.412","23.5","","41.2","29.4","5.9","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Senior Honors Thesis","681
007","","1","",".","",".",".",".","",".","",".","",".","",".","",".",".","",".","100.0",".",".",".","."
"","682
005","","1","",".","",".",".",".","",".","",".","",".","",".","",".",".","",".",".","100.0",".",".","."
"","682
009","","1","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","682
038","","1","3.000",".","",".","100.0",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","3.500","33.3","",".","33.3",".","",".","",".","",".","",".","",".",".","",".",".","33.3",".",".","."
"Senior Thesis","691
006","","1","",".","",".",".",".","",".","",".","",".","",".","",".",".","",".","100.0",".",".",".","."
"","692
001","","1","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","692
035","","1","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Statistical Mechanics","715
001","","34","3.603","44.1","","35.3","17.6","2.9","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Relativity","717
001","","5","3.900","80.0","","20.0",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Theor Physics-Electrodynmcs","721
001","","11","3.500","27.3","","45.5","27.3",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Waves&Instabilities-Plasmas","724
001","","6","3.667","33.3","","66.7",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Quantum Mechanics","732
001","","34","3.529","50.0","","8.8","38.2","2.9","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Nuclear, Particle&Astrophysics","736
001","","3","3.500",".","100.0","",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Quantum Electronics","746
001","","2","3.500","50.0","",".","50.0",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Advanced Quantum Computing","779
001","","21","3.425","33.3","","28.6","23.8","4.8","","4.8","",".","",".","","4.8","",".",".","",".",".",".",".",".","."
"","799
001","","1","",".","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".","100.0","."
"","799
012","","3","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"","799
015","","3","3.714","66.7","",".","33.3",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
