"","990
201","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"Dissertation","Course Total","31","",".",".",".",".",".",".",".","93.5","",".",".",".","6.5",".",".",".","."
"Dissertator Research","999
003","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"COMP SCI
266","Dept. Total","8460","3.366","41.3","19.8","17.4","7.0","4.6","1.7","1.5","3.4","",".","2.5","0.1","0.1","0.4","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","409","3.109","35.5","18.1","19.3","7.3","9.3","2.9","4.2",".","",".","2.2","0.2",".","0.5","0.5",".","."
"Sophomore","","1651","3.369","42.8","19.2","19.7","6.7","4.8","1.9","1.5","0.1","",".","2.5","0.1",".","0.6","0.1",".","."
"Junior","","1891","3.294","37.5","20.3","19.9","8.2","5.7","2.5","1.7","0.1","",".","3.4","0.2",".","0.4",".",".","0.1"
"Senior","","3004","3.300","36.5","22.5","19.7","9.1","5.3","1.8","1.6","0.1","",".","2.6","0.2","0.1","0.3","0.0","0.1","0.1"
"Undergraduates","","6955","3.303","38.2","20.9","19.8","8.2","5.5","2.1","1.8","0.1","",".","2.8","0.2","0.1","0.4","0.1","0.0","0.1"
"Special","","215","3.476","41.9","23.3","17.2","6.0","2.3","0.5","0.9","0.9","",".","4.7",".",".",".","0.9","1.4","."
"Graduate","","1295","3.815","57.8","13.3","4.7","0.9","0.3",".","0.1","21.3","",".","0.7",".","0.2","0.3",".","0.3","."
"","Dept. Total","8465","3.366","41.3","19.8","17.4","7.0","4.6","1.7","1.5","3.4","",".","2.5","0.1","0.1","0.4","0.1","0.1","0.0"
