"COMMUNICATION SCI & DISORD Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"990
013","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"990
017","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"990
024","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"990
025","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"990
040","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"990
060","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"990
071","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Course Total
Research and Thesis","15","",".",".",".",".",".",".",".","66.7","",".",".","",".","33.3",".",".",".","."
"999
004","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"999
013","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"999
017","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"999
024","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"999
025","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"999
030","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"999
046","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"999
050","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"999
060","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"999
071","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Course Total
Independent Studies","22","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"CS&D
Dept. Total
252","1339","3.697","68.3","15.2","8.3","2.5","2.4","0.7","0.3","0.8","",".",".","",".","0.6","0.7",".",".","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Freshmen","69","3.116","17.4","30.4","33.3","4.3","10.1","4.3",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","157","3.323","27.4","35.0","22.3","8.3","5.1","1.3",".",".","",".",".","",".",".","0.6",".",".","."
"Junior","172","3.426","43.6","27.3","14.0","5.2","6.4","1.2","1.2",".","",".",".","",".",".",".",".",".","1.2"
"Senior","433","3.789","75.1","15.0","5.8","1.8","0.9","0.2","0.5",".","",".",".","",".","0.7",".",".",".","."
"Undergraduates","831","3.568","54.8","22.6","12.9","4.0","3.6","1.0","0.5",".","",".",".","",".","0.4","0.1",".",".","0.2"
"Special","50","3.871","80.0","12.0","6.0",".",".",".",".","2.0","",".",".","",".",".",".",".",".","."
"Graduate","296","3.960","89.2","1.4","0.3",".","0.7","0.7",".","3.0","",".",".","",".","1.7","3.0",".",".","."
"Prof Yr 1","49","3.968","93.9","6.1",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","65","3.983","96.9","3.1",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","48","3.988","95.8","2.1",".",".",".",".",".","2.1","",".",".","",".",".",".",".",".","."
"Professionals","162","3.981","95.7","3.7",".",".",".",".",".","0.6","",".",".","",".",".",".",".",".","."
"Dept. Total","1339","3.697","68.3","15.2","8.3","2.5","2.4","0.7","0.3","0.8","",".",".","",".","0.6","0.7",".",".","0.1"
