"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","86","3.065","15.1","23.3","33.7","17.4","8.1",".","1.2","1.2","",".",".","",".","",".",".",".",".","."
"","002
101","77","3.105","28.6","33.8","16.9","2.6","7.8","1.3","7.8",".","",".",".","",".","",".","1.3",".",".","."
"","003
101","81","3.019","13.6","25.9","40.7","9.9","2.5","1.2","4.9",".","",".",".","",".","",".","1.2",".",".","."
"","101
004","89","3.330","29.2","30.3","32.6","3.4",".",".","3.4",".","",".",".","",".","",".",".","1.1",".","."
"","101
005","21","3.595","47.6","28.6","19.0","4.8",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","101
006","83","3.669","59.0","18.1","14.5","2.4","2.4",".",".",".","",".",".","",".","",".","3.6",".",".","."
"","101
007","81","2.975","12.3","34.6","18.5","12.3","14.8","3.7","1.2","2.5","",".",".","",".","",".",".",".",".","."
"Introduction to Philosophy","Course Total","518","3.212","27.2","27.6","26.1","7.9","5.6","1.0","2.9","0.6","",".",".","",".","",".","1.0","0.2",".","."
"Reason in Communication","210
001","63","3.371","41.3","23.8","19.0","4.8","6.3","1.6","1.6",".","",".",".","",".","",".","1.6",".",".","."
"","211
001","55","3.269","38.2","25.5","10.9","3.6","9.1","7.3",".","3.6","",".",".","",".","",".",".",".",".","1.8"
"","211
002","72","3.521","58.3","13.9","13.9","4.2","4.2",".","2.8",".","",".",".","",".","",".","1.4","1.4",".","."
"","211
003","77","3.414","57.1","16.9","10.4","2.6","5.2","1.3","5.2",".","",".",".","",".","",".","1.3",".",".","."
"Elementary Logic","Course Total","204","3.414","52.5","18.1","11.8","3.4","5.9","2.5","2.9","1.0","",".",".","",".","",".","1.0","0.5",".","0.5"
"","241
001","81","3.600","44.4","38.3","9.9","3.7","2.5",".",".",".","",".",".","",".","",".","1.2",".",".","."
"","241
002","77","3.204","22.1","20.8","35.1","16.9","3.9",".",".",".","",".",".","",".","",".","1.3",".",".","."
"","241
003","67","3.674","65.7","23.9","3.0","1.5","1.5",".","3.0","1.5","",".",".","",".","",".",".",".",".","."
"Introductory Ethics","Course Total","225","3.486","43.1","28.0","16.4","7.6","2.7",".","0.9","0.4","",".",".","",".","",".","0.9",".",".","."
"","243
001","72","3.382","27.8","33.3","27.8","9.7","1.4",".",".",".","",".",".","",".","",".",".",".",".","."
"","243
002","80","3.854","78.8","11.3","8.8",".",".",".",".","1.3","",".",".","",".","",".",".",".",".","."
"Ethics in Business","Course Total","152","3.629","54.6","21.7","17.8","4.6","0.7",".",".","0.7","",".",".","",".","",".",".",".",".","."
"","341
001","106","3.644","49.1","32.1","13.2","3.8",".",".",".","1.9","",".",".","",".","",".",".",".",".","."
"","341
002","20","3.553","55.0","15.0","20.0",".",".","5.0",".",".","",".",".","",".","",".","5.0",".",".","."
"","341
003","81","3.840","80.2","14.8","3.7",".",".",".","1.2",".","",".",".","",".","",".",".",".",".","."
"","341
004","80","3.881","76.3","23.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","005
341","83","3.421","27.7","45.8","16.9","6.0",".","1.2","1.2","1.2","",".",".","",".","",".",".",".",".","."
"","341
091","19","3.711","47.4","47.4","5.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","341
092","22","3.795","68.2","22.7","9.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","341
093","20","3.975","95.0","5.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","341
094","15","3.567","80.0",".","6.7","6.7",".",".","6.7",".","",".",".","",".","",".",".",".",".","."
"","341
095","21","3.929","85.7","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Contemporary Moral Issues","Course Total","467","3.711","61.0","26.6","8.4","2.1",".","0.4","0.6","0.6","",".",".","",".","",".","0.2",".",".","."
"History-Modern Philosophy","432
001","87","3.466","37.9","41.4","8.0","5.7","5.7",".","1.1",".","",".",".","",".","",".",".",".",".","."
"","454
001","17","3.735","64.7","29.4",".",".","5.9",".",".",".","",".",".","",".","",".",".",".",".","."
"","454
002","17","3.688","52.9","29.4","5.9","5.9",".",".",".","5.9","",".",".","",".","",".",".",".",".","."
"","454
003","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","454
004","5","3.800","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Classical Philosophers","Course Total","42","3.744","61.9","28.6","2.4","2.4","2.4",".",".","2.4","",".",".","",".","",".",".",".",".","."
"Methods of Logic","512
001","13","3.231","15.4","46.2","15.4","15.4","7.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Public Health Ethics","515
001","11","3.682","54.5","27.3","18.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Language and Meaning","516
001","23","3.295","21.7","26.1","39.1","4.3","4.3",".",".","4.3","",".",".","",".","",".",".",".",".","."
"","520
001","22","3.833","77.3","13.6",".",".","4.5",".",".",".","",".",".","",".","",".","4.5",".",".","."
"","520
002","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Philos of Natural Sciences","Course Total","25","3.854","80.0","12.0",".",".","4.0",".",".",".","",".",".","",".","",".","4.0",".",".","."
