"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","44","3.919","81.8","15.9",".",".",".",".",".","",".","",".",".","",".","",".","","2.3",".",".","."
"","170
001","21","3.214","23.8","23.8","28.6","19.0","4.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","170
002","15","2.967","26.7","20.0","6.7","26.7","13.3","6.7",".","",".","",".",".","",".","",".","",".",".",".","."
"","003
170","24","3.042","29.2","12.5","37.5","4.2","8.3","4.2","4.2","",".","",".",".","",".","",".","",".",".",".","."
"Civil Engineering Graphics","Course Total","60","3.083","26.7","18.3","26.7","15.0","8.3","3.3","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Intro to Mech Eng","201
001","130","3.519","55.4","16.2","17.7","3.1","6.2","0.8","0.8","",".","",".",".","",".","",".","",".",".",".","."
"Geometric Modeling","231
001","198","3.293","20.2","42.9","17.7","16.7","1.0","1.5",".","",".","",".",".","",".","",".","",".",".",".","."
"Dynamics","240
001","97","3.345","30.9","22.7","32.0","13.4","1.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergrad Mech Engr Project","291
050","21","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","299
015","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","299
041","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","299
069","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","299
107","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","306
001","78","2.859","17.9","16.7","25.6","11.5","23.1","3.8","1.3","",".","",".",".","",".","",".","",".",".",".","."
"","306
003","115","2.983","28.7","13.0","27.0","11.3","11.3","6.1","2.6","",".","",".",".","",".","",".","",".",".",".","."
"Mechanics of Materials","Course Total","193","2.933","24.4","14.5","26.4","11.4","16.1","5.2","2.1","",".","",".",".","",".","",".","",".",".",".","."
"","307
001","14","3.643","35.7","57.1","7.1",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
003","6","3.833","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
004","13","3.846","69.2","30.8",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
005","10","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
006","11","3.545","36.4","36.4","27.3",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
007","9","3.833","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
008","12","3.750","66.7","25.0",".","8.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
009","10","3.850","70.0","30.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
010","7","3.857","71.4","28.6",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
011","10","3.650","60.0","10.0","30.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
012","12","3.542","33.3","41.7","25.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
014","5","3.700","40.0","60.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
015","7","3.429","28.6","28.6","42.9",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
016","8","3.875","75.0","25.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","307
017","12","3.667","58.3","25.0","8.3","8.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Mechanics of Materials Lab","Course Total","146","3.712","54.8","34.2","9.6","1.4",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Manufacturing: Polymers","310
001","110","3.550","30.0","50.0","20.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Manufac: Metals and Automation","311
001","85","3.918","85.9","11.8","2.4",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Manufacturing Fundamentals","314
001","54","3.463","25.9","46.3","24.1","1.9","1.9",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Computer-Aided Engineering","331
001","129","3.465","40.3","28.7","20.9","3.9","6.2",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Dynamic Systems","340
001","126","3.266","31.7","26.2","19.0","12.7","8.7","1.6",".","",".","",".",".","",".","",".","",".",".",".","."
"Design of Machine Elements","342
001","143","3.440","44.8","24.5","18.2","4.2","4.9","2.1","0.7","",".","",".",".","",".","",".","","0.7",".",".","."
"Interdis Exper Dsgn Projects I","351
001","53","3.906","81.1","18.9",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Interdis Expr Dsgn Projects II","352
001","137","3.901","86.9","8.8","2.9","0.7","0.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","361
001","53","3.066","30.2","20.8","17.0","15.1","7.5","9.4",".","",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 143 of 454",""
