"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Becoming a Scientist","181
001","13","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Cellular Biology","383
001","85","3.253","25.9","14.1","47.1","10.6","2.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","384
001","22","3.636","54.5","18.2","27.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","384
002","23","3.609","56.5","8.7","34.8",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","384
003","20","3.475","50.0","5.0","40.0",".","5.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","384
004","20","3.700","60.0","25.0","10.0","5.0",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Cellular Biology Laboratory","Course Total","85","3.606","55.3","14.1","28.2","1.2","1.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Biological Interactions","587
001","70","3.343","31.4","24.3","32.9","4.3","7.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Directed Study","699
001","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"BIOCORE
206","Dept. Total","256","3.406","41.8","16.0","34.0","5.1","3.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","29","3.471","55.2","10.3","24.1","6.9","3.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","129","3.373","39.5","12.4","41.1","5.4","1.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","96","3.422","39.6","22.9","28.1","4.2","5.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","256","3.406","41.8","16.0","34.0","5.1","3.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","256","3.406","41.8","16.0","34.0","5.1","3.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
