"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","","","",""
"","300
001","111","3.185","4.5","43.2","38.7","11.7","1.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
002","39","2.910","2.6","25.6","41.0","12.8","17.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
003","38","3.355","13.2","52.6","28.9","2.6","2.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
004","41","2.976","2.4","22.0","56.1","7.3","12.2",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
005","40","3.138","17.5","25.0","35.0","17.5","2.5","2.5",".","",".","",".",".","",".","",".",".",".",".","."
"","300
006","37","3.162","8.1","37.8","37.8","10.8","5.4",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
007","39","3.103","17.9","25.6","23.1","30.8",".","2.6",".","",".","",".",".","",".","",".",".",".",".","."
"","300
008","40","3.400","17.5","47.5","32.5","2.5",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","009
300","43","3.384","9.3","62.8","23.3","4.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
010","39","3.064","7.7","17.9","56.4","15.4","2.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
011","41","3.000",".","22.0","61.0","12.2","4.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
012","41","3.366","12.2","58.5","22.0","4.9","2.4",".",".","",".","",".",".","",".","",".",".",".",".","."
"Managing Organizations","Course Total","549","3.173","8.7","37.7","38.1","11.1","4.0","0.4",".","",".","",".",".","",".","",".",".",".",".","."
"","305
001","60","3.500","55.0","5.0","35.0","1.7","1.7",".","1.7","",".","",".",".","",".","",".",".",".",".","."
"","305
002","42","3.310","52.4","2.4","31.0","2.4","7.1",".","4.8","",".","",".",".","",".","",".",".",".",".","."
"Human Resource Management","Course Total","102","3.422","53.9","3.9","33.3","2.0","3.9",".","2.9","",".","",".",".","",".","",".",".",".",".","."
"","310
001","28","3.482","32.1","42.9","17.9","3.6","3.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"","310
002","28","3.411","32.1","32.1","25.0","7.1","3.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"Chall & Solu in Bus Sustain","Course Total","56","3.446","32.1","37.5","21.4","5.4","3.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"Social Entrepreneurship","321
001","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","191","3.508","33.5","36.1","27.7","2.1",".",".",".","",".","",".",".","",".","",".","0.5",".",".","."
"","365
002","11","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","365
003","6","3.833","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Contemporary Topics","Course Total","17","3.925","88.2","11.8",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"The Management of Teams","401
001","37","3.419","29.7","27.0","40.5","2.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Global Issues in Management","403
001","14","3.321","21.4","35.7","28.6","14.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Management Consulting","412
001","48","3.615","58.3","14.6","20.8","4.2","2.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"Manage Change & Org Effectvnss","420
001","12","3.773","58.3","25.0","8.3",".",".",".",".","",".","",".",".","",".","",".",".",".","8.3","."
"","422
001","24","3.792","62.5","33.3","4.2",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","422
002","29","3.607","51.7","34.5","6.9",".",".",".","3.4","",".","",".",".","",".","",".","3.4",".",".","."
"Entrepreneurial Management","Course Total","53","3.692","56.6","34.0","5.7",".",".",".","1.9","",".","",".",".","",".","",".","1.9",".",".","."
"","423
001","35","3.586","42.9","34.3","20.0","2.9",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","423
002","37","3.486","32.4","37.8","24.3","5.4",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Strategic Management","Course Total","72","3.535","37.5","36.1","22.2","4.2",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","43","3.512","34.9","34.9","27.9","2.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Venture Creation","434
001","37","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Technology Entrepreneurship","441
001","22","3.659","59.1","22.7","13.6",".","4.5",".",".","",".","",".",".","",".","",".",".",".",".","."
"Personnel Staffing & Eval","611
001","21","3.571","28.6","61.9","4.8","4.8",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Labor-Management Relations","612
001","41","3.915","85.4","12.2","2.4",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","628
001","29","3.793","62.1","34.5","3.4",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","628
002","33","3.758","60.6","30.3","9.1",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","628
050","57","3.412","38.6","8.8","50.9",".","1.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 58 of 454",""
