"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","699","127","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","133","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","142","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","147","","7","3.286",".","57.1","42.9",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","148","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","155","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","156","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","160","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","161","","3","2.714","33.3",".",".","66.7",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","162","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699","163","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","","Course Total","","53","3.871","81.1","7.5","7.5","3.8",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","702","019","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","702","021","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","702","029","","3","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","702","124","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","702","144","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","702","165","","3","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate Cooperative Education","","Course Total","","11","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Princ of Programming Langs","704","001","","21","3.895","71.4","19.0",".",".",".","",".","",".",".","",".",".","",".","",".","9.5",".",".","."
"Computational Complexity","710","001","","21","3.762","66.7","19.0","14.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","10","3.900","90.0",".","10.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Nonlinear Optimization I","726","001","","31","3.274","22.6","29.0","35.5","6.5","6.5","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Integer Optimization","728","001","","12","3.583","50.0","33.3",".","16.7",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Distributed Systems","739","001","","74","3.872","75.7","23.0","1.4",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Computer Networks","740","001","","26","3.923","96.2",".",".",".","3.8","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Computer Architecture I","752","001","","6","3.667","66.7",".","33.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"VLSI Systems Design","755","001","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Topics-Comptr Architecture","758","001","","14","3.962","85.7","7.1",".",".",".","",".","",".",".","",".",".","",".","",".",".","7.1",".","."
"Machine Learning","760","001","","83","3.699","54.2","31.3","14.5",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Mathematical Machine Learning","761","001","","56","3.664","44.6","42.9","8.9","1.8",".","",".","",".","1.8","",".",".","",".","",".",".",".",".","."
"Computer Vision","766","001","","66","3.894","89.4","4.5","1.5","4.5",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Natural Lang Processing","769","001","","47","3.878","76.6","14.9","4.3",".",".","",".","",".","4.3","",".",".","",".","",".",".",".",".","."
"Advanced Bioinformatics","776","001","","8","3.813","62.5","37.5",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Foundations of Data Management","784","001","","37","3.851","75.7","18.9","5.4",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Algorithms","787","001","","32","3.766","62.5","28.1","9.4",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","790","002","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","005","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","012","","3","",".",".",".",".",".","",".","",".","66.7","",".",".","",".","",".","33.3",".",".","."
"","790","029","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","101","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","Page 214 of 454",""
